dataverse_identifier,id,identifier,persistentUrl,authority,publicationDate,storageIdentifier,title,dataset_global_id
lsq,3204533,DVN/ALFLK6,https://doi.org/10.7910/DVN/ALFLK6,10.7910,2018-08-07,s3://10.7910/DVN/ALFLK6,,10.7910/DVN/ALFLK6
lsq,3204598,DVN/X3ZNP8,https://doi.org/10.7910/DVN/X3ZNP8,10.7910,2018-08-07,s3://10.7910/DVN/X3ZNP8,,10.7910/DVN/X3ZNP8
lsq,3208153,DVN/2AQ0RX,https://doi.org/10.7910/DVN/2AQ0RX,10.7910,2020-06-17,s3://10.7910/DVN/2AQ0RX,,10.7910/DVN/2AQ0RX
lsq,3214164,DVN/DFGVTD,https://doi.org/10.7910/DVN/DFGVTD,10.7910,2020-11-14,s3://10.7910/DVN/DFGVTD,,10.7910/DVN/DFGVTD
lsq,3227753,DVN/OESR62,https://doi.org/10.7910/DVN/OESR62,10.7910,2018-09-23,s3://10.7910/DVN/OESR62,,10.7910/DVN/OESR62
lsq,3234420,DVN/D9H5LH,https://doi.org/10.7910/DVN/D9H5LH,10.7910,2018-10-04,s3://10.7910/DVN/D9H5LH,,10.7910/DVN/D9H5LH
lsq,3318843,DVN/ONSPYO,https://doi.org/10.7910/DVN/ONSPYO,10.7910,2018-11-27,s3://10.7910/DVN/ONSPYO,,10.7910/DVN/ONSPYO
lsq,3320323,DVN/FXKNCC,https://doi.org/10.7910/DVN/FXKNCC,10.7910,2020-11-14,s3://10.7910/DVN/FXKNCC,,10.7910/DVN/FXKNCC
lsq,3355628,DVN/6QE7NN,https://doi.org/10.7910/DVN/6QE7NN,10.7910,2019-02-10,s3://10.7910/DVN/6QE7NN,,10.7910/DVN/6QE7NN
lsq,3355850,DVN/754J03,https://doi.org/10.7910/DVN/754J03,10.7910,2019-08-06,s3://10.7910/DVN/754J03,,10.7910/DVN/754J03
lsq,3409511,DVN/LGBXWX,https://doi.org/10.7910/DVN/LGBXWX,10.7910,2019-04-16,s3://10.7910/DVN/LGBXWX,,10.7910/DVN/LGBXWX
lsq,3427122,DVN/0K6LWF,https://doi.org/10.7910/DVN/0K6LWF,10.7910,2019-05-12,s3://10.7910/DVN/0K6LWF,,10.7910/DVN/0K6LWF
lsq,3441652,DVN/IWMH4T,https://doi.org/10.7910/DVN/IWMH4T,10.7910,2019-06-01,s3://10.7910/DVN/IWMH4T,,10.7910/DVN/IWMH4T
