title,dataset_global_id
"Replication Data for: ""Multilingual Sentiment Analysis: A New Approach to Measuring Conflict in Legislative Speeches"" by Sven-Oliver Proksch, Will Lowe, Jens Wäckerle and Stuart Soroka",10.7910/DVN/ALFLK6
Replication Data for: Constituent demand and District-focused Legislative Representation,10.7910/DVN/X3ZNP8
"Replication Data for: Knowledge, Expertise, and Committee Power in the Contemporary Congress",10.7910/DVN/2AQ0RX
"Replication Data for: ""Legislators as Lobbyists"" by Melinda N. Ritchie and Hye Young You",10.7910/DVN/DFGVTD
"Replication Data for: “The Unequal Distribution of Speaking Time in Parliamentary Party Groups” by Hanna Bäck, Markus Baumann, Marc Debus and Jochen Müller.",10.7910/DVN/OESR62
Replication Data for: Legislative Bellwethers: The Role of Committee Membership in Parliamentary Debate,10.7910/DVN/D9H5LH
Replication Data for: Bonding in pursuit of policy goals. How MPs choose political parties in the legislative state of nature,10.7910/DVN/ONSPYO
Replication Data for: Legislative Constraints on Executive Unilateralism in Separation of Powers Systems,10.7910/DVN/FXKNCC
Replication Data for: Using computer simulations to measure the effect of gerrymandering on electoral competition in the U.S. Congress,10.7910/DVN/6QE7NN
Replication Data for: Geographic Representation in Party-Dominated Legislatures: A Quantitative Text Analysis of Parliamentary Questions in the German Bundestag,10.7910/DVN/754J03
"Replication package for ""Constituent Communication through Telephone Town Halls""",10.7910/DVN/LGBXWX
"Replication Data for: Procedural Change in the UK House of Commons, 1811-2015",10.7910/DVN/0K6LWF
Replication Data for: From the Halls of Congress to K Street: Government Experience and its Value for Lobbying,10.7910/DVN/IWMH4T
Replication Data for: The Sound of Rebellion: Voting Dissent and Legislative Speech in the UK House of Commons,10.7910/DVN/OVSONU
Replication Data for: The Effects of Blaming Others for Legislative Inaction on Individual and Collective Evaluations,10.7910/DVN/XHGDPA
,10.7910/DVN/SGXVVT
"Replication Data for: A Race for the Regs: Unified Government, Statutory Deadlines, and Federal Agency Rulemaking",10.7910/DVN/HVMSDE
"Replication Data for: “Executive Particularism and Ministerial Selection in India,” Legislative Studies Quarterly",10.7910/DVN/D6YWGL
"Replication Data for ""When Do Low Roll Rates Indicate Party Influence?   Evidence from Counterfactual Roll Rates"" Legislative Studies Quarterly",10.7910/DVN/HVYB4W
"Replication Data for: Corruption, Party Leaders, and Candidate Selection: Evidence from Italy",10.7910/DVN/OSIQ8I
Replication Data for: Campaigns and the Selection of Policy-seeking Representatives,10.7910/DVN/FR4HOU
Replication Data for: Bicameralism and Minority Party Influence on Legislative Development: Evidence from House Standing Committee Votes,10.7910/DVN/QRU9E6
How Many Seats in Congress is Control of Redistricting Worth?,10.7910/DVN/90OBWR
Replication Data for: Legislative Transparency and Credit Risk,10.7910/DVN/3GWZ9J
Replication Data for: The Cosponsorship Patterns of Reserved Seat Legislators,10.7910/DVN/CLOTQP
Replication Data for: Coalition Prospects and Policy Change: an Application to the Environment,10.7910/DVN/QTWTFF
Replication Data for: Circumventing Legislative Committees: The U.S. Senate,10.7910/DVN/G46IQM
Replication Data for: The Impact of Partisan Gerrymandering on Political Parties,10.7910/DVN/WVVJFZ
Replication data for You can't always get what you want: How majority-party agenda-setting and ignored alternatives shape public attitudes,10.7910/DVN/YFDC8E
Replication Data for: How Citizens Want Their Legislator to Vote,10.7910/DVN/DQLTVJ
Replication Data for: Behavioral Consequences of Open Candidate Recruitment,10.7910/DVN/ITEVDB
Replication Data for: Oversight or Representation? Public Opinion and Impeachment Resolutions in Argentina and Brazil,10.7910/DVN/XY51ZF
Replication Data for: The Election of African American State Legislators in the Modern South,10.7910/DVN/EHAGOF
"Replication Data for: ""Class War in the Voting Booth: Bias Against High-Income Congressional Candidates""",10.7910/DVN/U5B81D
Replication Data for Reconciling Candidate Extremism and Spatial Voting,10.7910/DVN/R7L9T9
Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System,10.7910/DVN/ECWIXM
"Replication Data for ""Party Strategy, Candidate Selection, and Legislative Behavior in Mexico""",10.7910/DVN/UYOSSF
Replication Data for: Suspension of the Rules and Majority Party Strategy in the House,10.7910/DVN/NQT3UM
Replication Data for: Are Women Less Effective at Passing Bills? Exploring the Direct and Indirect Effects of Gender,10.7910/DVN/HGHKFY
"Replication Data for: Congressional Representation by Petition: Assessing the Voices of the Voteless in a Comprehensive New Database, 1789-1949",10.7910/DVN/JMOXQI
"Replication Data for: ""The Policy Substance of Legislative Ideology""",10.7910/DVN/ZAQTQO
