dataset_persistent_id,file_ext
doi:10.7910/DVN/TOWHUL,.doc
doi:10.7910/DVN/25832,.docx
doi:10.7910/DVN/NEFFSP,.docx
doi:10.7910/DVN/FIRWJT,.docx
doi:10.7910/DVN/25579,.doc
doi:10.7910/DVN/DFESXS,.pdf
doi:10.7910/DVN/23096,.doc
doi:10.7910/DVN/JGATX6,.docx
doi:10.7910/DVN/DPQEHZ,.pdf
doi:10.7910/DVN/PZLXFQ,.docx
doi:10.7910/DVN/LEJUQZ,.docx
doi:10.7910/DVN/MEJBZT,.pdf
doi:10.7910/DVN/NRWPDC,.pdf
doi:10.7910/DVN/P9S62I,.pdf
doi:10.7910/DVN/U1UBII,.pdf
doi:10.7910/DVN/29669,.docx
doi:10.7910/DVN/CBED0J,.pdf
doi:10.7910/DVN/FPIYZ7,.pdf
doi:10.7910/DVN/0UNYW3,.pdf
doi:10.7910/DVN/XJ28JK,.pdf
doi:10.7910/DVN/NXX3JJ,.pdf
doi:10.7910/DVN/QHXXXN,.pdf
doi:10.7910/DVN/BYC7DS,.docx
doi:10.7910/DVN/XPFGAZ,.pdf
doi:10.7910/DVN/3CUHGN,.pdf
