name,type,url,identifier,description,published_at,match_candidate,diff
Political Analysis Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/pan,pan,"Political Analysis is the official journal of the Society for Political Methodology. We publish articles that provide original and significant advances in the general area of political methodology, including both quantitative and qualitative methodological approaches.",2010-03-12T14:54:49Z,Political Analysis,0.119047619047619
Journal of Experimental Political Science,dataverse,https://dataverse.harvard.edu/dataverse/xps,xps,"The Journal of Experimental Political Science (JEPS) features research - be it theoretical, empirical, methodological, or some combination thereof - that utilizes experimental methods or experimental reasoning based on naturally occurring data. This Dataverse contains replication data and other relevant files for articles published in the journal. For step by step instructions to upload your data and replication materials, see the JEPS Author Guide to Dataverse. For more information about the journal, including its requirements regarding data and replication files, see the Instructions for Contributors page on the JEPS website.",2017-09-08T17:27:50Z,Annual Review Of Political Science,0.238534606441399
International Interactions Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/interact,interact,"International Interactions is a leading interdisciplinary journal that publishes original empirical, analytic, and theoretical studies of conflict and political economy.",2010-02-16T07:01:07Z,International Affairs,0.242063492063492
Communication Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/fhaase,fhaase,,2015-08-05T18:18:18Z,Political Communication,0.359148550724638
American Political Science Review Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/the_review,the_review,"The American Political Science Review is political science's premier scholarly research journal, providing peer-reviewed articles and review essays from subfields throughout the discipline. Areas covered include political theory, American politics, public policy, public administration, comparative politics, and international relations. APSR has published continuously since 1906. For questions, please reach out to apsr@apsanet.org",2016-09-01T15:58:58Z,American Political Science Review,0.0775193798449613
International Security Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/isec,isec,Dataverse for International Security quarterly journal,2015-04-23T14:48:36Z,International Security,0.104166666666667
Journal of Public Policy Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/JPublicPolicy,JPublicPolicy,"The Journal of Public Policy (JPP) applies social science theories to significant political, economic and social issues and to the ways in which public policies are made. In order to promote data sharing, research transparency and study replication, authors of articles accepted by JPP must submit their quantitative data to this repository. For more information on how to do this, please review the JPP Guide to Dataverse and Instructions for Contributors, as well as the user guides and support available from Dataverse.",2015-11-09T11:50:01Z,Journal Of European Public Policy,0.246517462203737
Environmental Policy Research Group ZEF,dataverse,https://dataverse.harvard.edu/dataverse/epr-zef,epr-zef,"This data-base contains data from quantitative environmental policy research, with a focus on Spatial Modeling in the Amazon and other tropical regions.",2017-11-28T14:17:21Z,Environmental Politics,0.192696192696193
International Journal of Asian Education Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/ijae,ijae,International Journal of Asian Education (IJAE) is a high quality open access peer reviewed research journal that is published by Research and Education Development (READ) Institute.,2020-07-18T09:18:22Z,International Journal Of Press-Politics,0.215120435120435
International Organization (IO) Journal Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/IOJ,IOJ,International Organization (IO) is a leading peer-reviewed journal that covers the entire field of international affairs. The journal is continuously ranked among the top journals in the field.,2019-01-28T19:42:31Z,International Organization,0.156462585034014
Political Behavior Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/polbehavior,polbehavior,Dataverse for the journal Political Behavior,2015-06-29T18:03:50Z,Political Behavior,0.119047619047619
American Journal of Political Science (AJPS) Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/ajps,ajps,"The American Journal of Political Science is committed to significant advances in knowledge and understanding of citizenship, governance, and politics, and to the public value of political science research. To find out more about our data integrity policies, please visit our website.",2013-02-13T15:35:23Z,American Journal Of Political Science,0.138638638638639
British Journal of Political Science Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/BJPolS,BJPolS,"British Journal of Political Science (BJPolS) is a broad based journal aiming to cover developments across a wide range of countries and specialisms. BJPolS is a signatory of the Data Access and Research Transparency (DA-RT) statement, promoting data sharing and research transparency in political science. This site is dedicated to the replication data for the articles it publishes. For more information about contributing to the journal, read the Instructions for Contributors. Authors needing help with this repository can view the guide to using BJPolS Dataverse.",2015-03-04T14:26:08Z,British Journal Of Political Science,0.108017023234415
Comparative Political Studies Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/cps,cps,"Comparative Political Studies (CPS) published fourteen times a year, offers scholarly work on comparative politics at both the cross-national and intra-national levels. Dedicated to relevant, in-depth analyses, CPS provides the timeliest methodology, theory, and research in the field of comparative politics. This journal is a member of the Committee on Publication Ethics (COPE). Visit the Journal here: https://journals.sagepub.com/home/cps Contact: cps@umn.edu",2020-08-05T18:48:51Z,Comparative Political Studies,0.0854700854700855
The Journal of Politics Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/jop,jop,The Journal of Politics supports the growing effort in political science to establish best practices for the dissemination of replication files.,2015-01-19T20:04:32Z,European Journal Of Political Research,0.292899757812039
Foreign Policy Analysis Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/FPA,FPA,,2010-11-03T19:16:53Z,Foreign Affairs,0.320454545454546
The Political Economy of Power-Sharing,dataverse,https://dataverse.harvard.edu/dataverse/peps,peps,"This is the Dataverse repository of all the datasets produced within the project ""The Political Economy of Power-Sharing in Post-Conflict Situations"". The project is funded by the German Research Foundation (DFG).",2017-07-17T11:10:19Z,New Political Economy,0.198412698412698
Spatial Inequalities in African Political Economy,dataverse,https://dataverse.harvard.edu/dataverse/Boone,Boone,"This Dataverse contains data from the ESRC-funded Spatial Inequalities in African Political Economy project (2018-2021), based at the LSE.",2020-08-14T12:57:30Z,Review Of International Political Economy,0.267828106852497
Public Administration,dataverse,https://dataverse.harvard.edu/dataverse/pa,pa,"Public Administration, founded in 1922, is the oldest professional journal in public administration. We publish articles on all facets of public administration, public policy and public management. The journal encourages, but does not require, the open access of data and materials for all research articles and the preregistration of study designs for research articles published in the journal. The sharing of data and materials is required for all replications studies prior to final acceptance by the journal.",2020-12-11T19:14:45Z,Public Opinion Quarterly,0.26468253968254
SAGE/HFC Geopolitical Forecasting Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/hfc-sage,hfc-sage,User data collected from the SAGE platform during the two RCT's of IARPA's HFC program.,2020-12-17T23:18:41Z,Geopolitics,0.248062015503876
