file_in,title,journal,count_prereg,prereg_context,prereg_term_context
10.1007_s11109-015-9319-3,Turning out unlikely voters? {A} field experiment in the top-two primary,Political Behavior,4,"n investigate heterogeneous treatment effects, which we had pre-registered, as well as persistence into the november general election. the central result from our analysis is that these voters who would normally not be contacted by campaigns or election administrators because they hadn’t previously voted in primaries (‘‘low-propensity voters’’ in the parlance of campaigns) respond to simple informational letters to the same or even greater degree as citizens resp","7 we preregistered heterogeneous treatment effect analysis prior to receiving the results at http://e-gap. org, and also anticipated this analysis through the block randomization of our experimental design. we analyze heterogeneous treatment effects by two pre-registered district variables in a companion article. polit behav (2016) 38:413–432 425 123 in"
,,,,"hable difference with or without block fixed effects. 17 we preregistered heterogeneous treatment effect analysis prior to receiving the results at http://e-gap. org, and also anticipated this analysis through the block randomization of our experimental design. we analyze heterogeneous treatment effects by two pre-registered district variables in a companion article. polit behav (2016) 38:413–432 425 123 in fig. 3, we present heterogeneous treatment effects by g","undation, and did not involve deception of its subjects. we pre-registered our analysis with http://e-gap.org. the authors are solely responsible for interpretation, analysis, and conclusions. a replication archive is available at http:// dx.doi.org/10.7910/dvn/8qlbsa or from the authors on request. references arceneaux, k., & nickerson, d. w. (2009). w"
,,,,"l design. we analyze heterogeneous treatment effects by two pre-registered district variables in a companion article. polit behav (2016) 38:413–432 425 123 in fig. 3, we present heterogeneous treatment effects by groups of registrant age (the same age groupings used in our block randomization) and individual turnout history in recent general elections. we again include the overall effects to the far left for reference. there is some evidence that the letters were",
,,,,"undation, and did not involve deception of its subjects. we pre-registered our analysis with http://e-gap.org. the authors are solely responsible for interpretation, analysis, and conclusions. a replication archive is available at http:// dx.doi.org/10.7910/dvn/8qlbsa or from the authors on request. references arceneaux, k., & nickerson, d. w. (2009). who is mobilized to vote? a re-analysis of eleven randomized field experiments. american journal of political sci",
10.1007_s11109-013-9239-z,Do online advertisements increase political candidates' name recognition or favorability? {Evidence} from randomized field experiments,Political Behavior,1,"herwise. 16 best practices in randomized trials include the pre-registration of an analysis plan to limit researcher discretion (casey et al. 2012). 272 polit behav (2014) 36:263–289 123 politically meaningful impacts. indeed, the results cast doubt on the proposition that dozens of online ads increased the candidate’s name recognition in his district by more than approximately 1.8 % points, which marks the upper end of the 95 % confidence interval. because only "," the launch of the survey, in accordance with the authors’ ex ante analysis plan, registered at the egap website.16 finally, we present the results from regressions that control for blocks and form confidence intervals using clustered standard errors and an assumed normal sampling distribution. across four dependent variables, the results of the experi"
,,,,,"exclude them from the analysis below in keeping with the cautious procedure laid out in our ex ante pre-analysis plan. results: descriptive statistics descriptive statistics for the 3,557 voters who both completed the poll and were matched back to the voter file are shown in table 3. reassuringly, 24 % of the sample had been assigned to be treated with ads, es"
,,,,,", k., glennerster, r., & miguel, e. (2012). reshaping institutions: evidence on aid impacts using a pre-analysis plan. quarterly journal of economics, 127(4), 1755–1812. chong, d., & druckman, j. n. (2010). dynamic public opinion: communication effects over time. american political science review, 104(4), 663–680. danaher, p. j., & mullarkey, g. w. (2003). fac"
10.1007_s11109-015-9305-9,The rich are different: the effect of wealth on partisanship,Political Behavior,1,"vote in a primary for the other party. this might mean that pre-registered winners also changed their partisan identification in response to winning, but they never take the formal step to change their party registration. while not particularly costly, changing partisan registration in pennsylvania would require voters to change during a visit to the department of motor vehicles or mail a form to their county board of elections. the data on the subsequent politic",
10.1007_s11109-016-9350-z,Reprecincting and voting behavior,Political Behavior,1,"on. furthermore, florida allows for 16- and 17-year-olds to pre-register to vote; those who had not yet turned 18 by the 2012 election were also excluded. 8 on this point, our research design differs from haspel and knotts (2005: 536), who report using a single voter file obtained by the georgia secretary to determine a voter’s residence, election day polling location, and turnout in the 2001 atlanta election. because they use a single snapshot from the voter fil",
10.1007_s11109-017-9413-9,What draws politicians' attention? {An} experimental study of issue framing and its effect on individual political elites,Political Behavior,1,"signing the experiments. they were, however, not officially pre-registered. polit behav (2018) 40:547–569 551 123 whether conflict is equally attractive for elites as it is for citizens. on the one hand, as elites are more purposeful and rational information users, we may expect them to be less sensitive to news framing in general. on the other hand, as politics essentially is about conflicts we may expect politicians to be especially attentive to bits of informa",
10.1007_s11109-018-9491-3,Anxious voters in the 2016 u.s. {Election}: an analysis of how they decided from the erpc2016,Political Behavior,17,"tudy’s release. in so doing, it serves as a model for other preregistered and potentially pre- accepted research. consistent with past findings, this study shows that anxious vot- ers in 2016 were less likely to rely on past partisanship and more likely to base deci- sions on personal qualities. however, anxiety did not condition the effect of issues in the election. further, donald trump faced no more anxiety among republican voters than mitt romney did in 2012","by, dave peterson, and keith t. poole. the preregistered research design is available at http://www.osf.io/34cfg​/regis​ter/57ace​80a59​4d900​ 00154​03c6. complete replication information is available at https​://doi.org/10.7910/dvn/s2vgj​1. previous versions of this project were presented at the political studies association’s 2017 political methodol"
,,,,"ty served as unique features of the 2016 election. keywords preregistration · voting behavior · elections · political psychology · bayesian statistics for helpful research assistance, i thank ryan bakker, arthur lupia, brendan nyhan, andreas murr, ken benoit, michael breen, donnacha ó beacháin, bill jacoby, dave peterson, and keith t. poole. the preregistered research design is available at http://www.osf.io/34cfg​/regis​ter/57ace​80a59​4d900​ 00154​03c6. comple","aiken 1987; petty and cacioppo 1981; petty and cacioppo 3 full details are available here: https​://osf.io/34cfg​/regis​ter/57ace​80a59​4d900​00154​03c6. 4 for more information, see: http://www.erpc2​016.com/. 5 the originally reported version of the 2012 model actually had a coding error in it due to a mistake in specifying a boolean statement. hence"
,,,,"acháin, bill jacoby, dave peterson, and keith t. poole. the preregistered research design is available at http://www.osf.io/34cfg​/regis​ter/57ace​80a59​4d900​ 00154​03c6. complete replication information is available at https​://doi.org/10.7910/dvn/s2vgj​1. previous versions of this project were presented at the political studies association’s 2017 political methodology group conference in oxford, england, the department of methodology at the london school of e",", k., glennerster, r., & miguel, e. (2012). reshaping institutions: evidence on aid impacts using a preanalysis plan. quarterly journal of economics, 127(4), 1755–1812. chaiken, s. (1987). the heuristic model of persuasion. in m. p. zanna, j. m. olson, & c. p. herman (eds.), social influence: the ontario symposium (vol. 5, pp. 3–39). hillsdale, nj: lawrence e"
,,,,"a registered report that studies electoral behavior using a prereg- istered design. that is, before votes were counted in the 2016 election, i publicly released my plan for assessing how anxiety conditioned voters’ decisions with the 1 based on abc news/washington post polls over more than 30 years, as reported by usa today. 2 figure a.5 in the online appendix shows results for the model presented in this paper, repeated for each presidential election from 1984-",
,,,,"litical behavior (2020) 42:189–212 open science framework.3 preregistering a study before observing the outcome variable is increasingly popular and raises honesty and transparency in research (asendorpf et al. 2013; casey et al. 2012; chambers 2013; humphreys et al. 2013; king et al. 2007; monogan 2013; monogan 2015). this article was written as part of the 2016 election research preacceptance competition (erpc2016), which chal- lenged authors to write their pa",
