file_in	title	journal	%	average marginal component effect	Average treatment effect	carr.{20}experiment	choice experiment	coefficient	condition	conduct.{1,70}experiment	utili[sz].{1,70}experiment	confidence interval	conjoint experiment	control	control group	difference-in-differences	estimator	experimental design	experimental group	experimental research	field experiment	instrumental variable	interaction	internet experiment	intervention	likelihood estimator	manipulation	lab experiment	maximum likelihood estimator	measure	model	multilevel experiment	natural experiment	null result	online survey experiment	p <	p =	p >	p<	p=	p>	participa	population	posttest	pretest	predict	predicted probab	causal	sample size	quasi-experimental	random	random utility model	randomized control trial	RCT	RDD	regression discontinuity design	statistical significance	statistically significant	survey experiment	treatment effect	treatment group	validity	list survey	vignette	vignette experiment	β	effect	design	results	plot	figure	subject	recruit	random.{10}assign	control condition	mechanical turk	mturk	causal inference	µ	yougov	polimetrix	qualtrics	count_experiment	nchar
10.1007_s11109-018-9507-z	Does group deliberation mobilize? {The} effect of public deliberation on willingness to participate in politics	Political Behavior	17	0	0	0	0	0	15	0	0	6	0	45	5	0	0	1	0	0	5	0	0	0	1	0	1	0	0	5	4	0	0	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	58	8	15	0	0	1	0	0	8	0	0	0	0	0	0	0	16	75374
10.1093_ijpor_edr056	Recent articles in the field of public opinion research	International Journal of Public Opinion Research	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12867
10.1017_s0007123415000186	Rumors and health care reform: experiments in political misinformation	British Journal of Political Science	92	0	0	0	0	0	47	2	0	0	0	23	2	2	0	0	0	0	0	0	2	0	0	0	3	0	0	2	3	0	0	0	0	0	30	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	31	4	32	0	0	1	0	0	5	1	0	0	0	3	0	0	43	78501
10.1093_pan_mps038	Reasoning about interference between units: a general framework	Political Analysis	19	0	0	0	0	0	11	0	0	0	0	51	4	0	0	2	0	0	4	0	1	0	3	0	1	0	0	2	136	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	48	31	0	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	26	14	6	17	43	0	0	5	0	0	8	0	0	0	0	71	99921
10.1111_1475-6765.12210	Policy design and domestic support for international bailouts	European Journal of Political Research	14	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	15	20	26	0	37	0	0	0	0	0	0	1	0	0	0	0	24	72426
10.1016_j.electstud.2018.06.005	Endogenous district magnitude and political party fragmentation in subnational indonesia: a research note	Electoral Studies	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	8	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	41	0	0	0	0	8	0	2	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	6	9	0	0	1	0	0	0	0	0	1	0	0	0	0	5	49405
10.1057_s41269-017-0048-y	Spontaneous trait inferences from candidates' faces: the impact of the face effect on election outcomes in germany	Acta Politica	12	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	42	2	21	0	0	1	0	0	0	0	0	0	0	0	0	0	6	53855
10.1017_pan.2018.48	Waking up the golden dawn: does exposure to the refugee crisis increase support for extreme-right parties?	Political Analysis	3	0	0	0	0	2	1	0	0	0	0	8	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	1	2	0	6	0	2	0	0	0	0	20	4	14	0	15	11	0	0	0	0	0	2	0	0	0	0	5	42771
10.1146_annurev-polisci-041719-101841	Nationalism: {What} {We} {Know} and {What} {We} {Still} {Need} to {Know	Annual Review of Political Science	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	100737
10.1017_s1049096518002056	Why do students enroll in political science courses?	PS: Political Science \& Politics	35	0	0	0	0	0	0	2	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	25	3	7	0	21	0	0	0	0	0	0	0	0	0	0	0	12	39554
