file_in,title,journal,%,average marginal component effect,Average treatment effect,carr.{20}experiment,choice experiment,coefficient,condition,"conduct.{1,70}experiment","utili[sz].{1,70}experiment",confidence interval,conjoint experiment,control,control group,difference-in-differences,estimator,experimental design,experimental group,experimental research,field experiment,instrumental variable,interaction,internet experiment,intervention,likelihood estimator,manipulation,lab experiment,maximum likelihood estimator,measure,model,multilevel experiment,natural experiment,null result,online survey experiment,p <,p =,p >,p<,p=,p>,participa,population,posttest,pretest,predict,predicted probab,causal,sample size,quasi-experimental,random,random utility model,randomized control trial,RCT,RDD,regression discontinuity design,statistical significance,statistically significant,survey experiment,treatment effect,treatment group,validity,list survey,vignette,vignette experiment,β,effect,design,results,plot,figure,subject,recruit,random.{10}assign,control condition,mechanical turk,mturk,causal inference,µ,yougov,polimetrix,qualtrics,count_experiment,nchar
10.1002_1944-2866.poi328,Social science in the era of big data,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14,46295
10.1002_1944-2866.poi349,Bridging normative democratic theory and internet technologies: a proposal for scaling citizen policy deliberations,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,8,7,0,6,1,1,0,0,0,0,0,0,0,0,0,25,69570
10.1002_j.1538-165x.2010.tb00667.x,"Perception, memory, and partisan polarization on the iraq war",Political Science Quarterly,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,1,6,0,20,0,0,0,0,0,0,0,0,2,4,0,7,66720
10.1002_j.1538-165x.2011.tb02121.x,"Coethnicity: diversity and the dilemmas of collective actionby james habyarimana, macartan humphreys, daniel n. {Posner}, and jeremy m. {Weinstein",Political Science Quarterly,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9351
10.1002_poi3.100,"Causation, correlation, and big data in social science research",Policy \& Internet,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,12,80666
10.1002_poi3.111,Accounting for market frictions and power asymmetries in online labor markets,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,0,11,3,1,0,0,8,1,0,0,0,0,0,6,52923
10.1002_poi3.115,Crowdsourced deliberation: the case of the law on off-road traffic in finland,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,3,0,14,0,0,0,0,1,0,0,0,0,0,0,21,67895
10.1002_poi3.119,Online deliberation in academia: evaluating the quality and legitimacy of cooperatively developed university regulations,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,56,0,0,6,0,0,0,0,0,0,0,0,0,0,5,100581
10.1002_poi3.139,Response scales in voting advice applications: do different designs produce different outcomes?,Policy \& Internet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,18,17,1,10,0,0,0,0,0,0,0,0,0,0,0,5,76426
10.1002_poi3.140,Research on voting advice applications: state of the art and future directions,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,10,9,0,3,0,0,0,0,0,0,0,0,0,0,0,9,45790
