file_in,title,journal,average marginal component effect,average treatment effect,carr.{20}exper,\bcausal\b,causal inference,choice experi...9,coefficient,condition,"conduct.{1,70}exper",confidence interval,joint analysis,joint experiment,control,control condition,control group,design,difference-in-differences,\beffect\b,estimator,"experi.{1,120}conduct",experi.{20}carri,"experi.{1,40}we","experi.{1,30}design","experiment.{1,10}design","experiment.{1,10}group","experiment.{1,10}manipul","experiment.{1,10}research",field experiment,"group.{1,10}treat",instrumental variable,interaction,internet experiment,intervention,"i{1,20}ran","i{1,20}random",lab experiment,laboratory experiment,likelihood estimator,list experim,list survey,manipulat,marginal means,maximum likelihood estimator,measure,mechanical turk,mturk,multilevel experiment,natural experiment,null result,\bols\b,"original.{1,10}experim",\bour\b,"our.{1,10}game","our.{1,20}experi","our.{1,30}find",p <,p =,p >,p<,p=,p>,participa,"participants.{1,30}assign",plot,polimetrix,post-test,posttest,pre-experiment,pre-test,predict,predicted probab,pretest,qualtrics,quasi-experi,random utility model,"random.{1,30}assign",randomi[sz]ed control trial,rct,rdd,recruit,"recruit.{1,20}participa","recruit.{1,20}respond","recruit.{1,20}subject",regression,respon,"respond.{1,10}were",review,sample size,simulat,statistical significance,statistically significant,"study.{1,20}experi",subject,"subject.{1,20}recruit",survey experi,systematic review,the experi,this experi,treatment effect,treatment group,thought experi,group experi,"use.{1,30}experi","using.{1,10}experiment","utili[sz].{1,70}exper",validity,vignette,vignette experiment,\bwe\b,"we.{1,150}experiment","we.{1,20}carr","we.{1,20}conduct","we.{1,20}design","we.{1,20}field","we.{1,20}find","we.{1,20}ran","we.{1,20}randomi","we.{1,20}recrui","we.{1,20}test","we.{1,40}design",yougov,µ,β,computation,regression discontinuity,discrete choice,cluster,choice experi...131,monte carlo,player,"experi.{1,10}condition","experi.{1,10}session",counterfact,count_experiment,exp_header,exp_sum,exp_avg,nchar
10.1007_s11109-018-9507-z,Does group deliberation mobilize? {The} effect of public deliberation on willingness to participate in politics,Political Behavior,0,0,0,0,0,0,0,29,1,6,0,0,46,9,12,12,0,58,0,0,0,4,1,1,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,1,0,0,18,0,0,1,0,0,0,0,1,0,238,4,0,0,0,0,0,0,4,0,0,0,1,0,8,0,0,0,3,0,0,0,4,13,0,18,2,0,0,2,0,16,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,71,5,0,7,1,0,8,6,0,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,668,5.02255639097744,75374
10.1093_ijpor_edr056,Recent articles in the field of public opinion research,International Journal of Public Opinion Research,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,12,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,1,3,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,57,0.428571428571429,12867
10.1017_s0007123415000186,Rumors and health care reform: experiments in political misinformation,British Journal of Political Science,0,1,0,0,0,0,0,79,3,0,0,0,23,5,2,7,2,31,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,8,1,0,0,0,0,1,0,0,0,6,0,0,30,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,71,13,8,0,0,0,0,0,23,0,0,0,9,3,4,1,0,0,2,0,0,0,0,0,13,17,0,2,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,6,0,0,43,1,402,3.02255639097744,78501
10.1093_pan_mps038,Reasoning about interference between units: a general framework,Political Analysis,0,1,0,48,8,0,0,14,1,0,0,0,54,6,16,37,0,5,2,1,0,10,3,3,0,1,0,5,1,0,2,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,90,0,3,0,2,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,5,0,3,38,102,0,0,0,62,0,0,0,16,1,1,1,0,0,1,0,0,1,0,0,234,23,0,0,6,0,0,8,5,0,21,6,0,0,0,5,0,0,6,0,0,0,0,0,5,71,0,907,6.81954887218045,99921
10.1111_1475-6765.12210,Policy design and domestic support for international bailouts,European Journal of Political Research,0,0,0,3,1,0,0,36,0,9,4,10,0,0,0,25,0,15,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,27,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,3,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,90,3,0,3,3,2,20,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,376,2.82706766917293,72426
10.1016_j.electstud.2018.06.005,Endogenous district magnitude and political party fragmentation in subnational indonesia: a research note,Electoral Studies,0,0,0,8,1,0,0,3,0,0,0,0,3,0,2,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,25,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,1,5,0,112,0.842105263157895,49405
10.1057_s41269-017-0048-y,Spontaneous trait inferences from candidates' faces: the impact of the face effect on election outcomes in germany,Acta Politica,0,0,0,1,0,0,0,7,0,0,0,0,14,0,0,2,0,42,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,15,0,2,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,12,18,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,39,3,0,1,0,0,3,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,229,1.7218045112782,53855
10.1017_pan.2018.48,Waking up the golden dawn: does exposure to the refugee crisis increase support for extreme-right parties?,Political Analysis,0,5,0,8,2,0,3,4,0,2,0,0,8,0,1,4,1,20,4,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,2,0,23,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,3,0,0,1,2,1,11,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,40,3,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,5,0,214,1.60902255639098,42771
10.1146_annurev-polisci-041719-101841,Nationalism: {What} {We} {Know} and {What} {We} {Still} {Need} to {Know,Annual Review of Political Science,0,0,0,5,0,0,0,6,0,0,0,0,3,0,0,3,0,0,0,0,0,1,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,25,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,108,0.81203007518797,100737
10.1017_s1049096518002056,Why do students enroll in political science courses?,PS: Political Science \& Politics,0,1,0,1,0,0,0,1,2,0,0,0,11,0,9,8,0,25,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,5,0,3,1,0,0,3,0,0,0,0,0,8,0,4,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,116,0.87218045112782,39554
