file_in,url
10.1002_polq.13130,10.7910/DVN/B2QJ58
10.1007_s10290-020-00377-z,10.7910/DVN/SJ5HP1
10.1007_s10784-017-9371-z,10.7910/DVN/RIBJXF
10.1007_s11109-015-9322-8,10.7910/DVN/12SK8B
10.1007_s11109-015-9323-7,10.7910/DVN/B9OYRP
10.1007_s11109-016-9336-x,10.7910/DVN/U1GGGQ
10.1007_s11109-016-9340-1,10.7910/DVN/PEXMHA
10.1007_s11109-016-9350-z,10.7910/DVN/XFHBPO
10.1007_s11109-016-9351-y,10.7910/DVN/EXVUEA
10.1007_s11109-016-9353-9,10.7910/DVN/GUQYJT
10.1007_s11109-016-9356-6,10.7910/DVN/UYUZYA
10.1007_s11109-016-9358-4,10.7910/DVN/NW4LIO
10.1007_s11109-016-9360-x,10.7910/DVN/EDEJND
10.1007_s11109-016-9375-3,10.7910/DVN/TYD3EC
10.1007_s11109-016-9384-2,10.7910/DVN/KJOH74
10.1007_s11109-017-9401-0,10.7910/DVN/DY1282
10.1007_s11109-017-9403-y,10.7910/DVN/9DAQH4
10.1007_s11109-017-9405-9,10.7910/DVN/2ZEVWT
10.1007_s11109-017-9408-6,10.7910/DVN/YQNLWF
10.1007_s11109-017-9409-5,10.7910/DVN/XZJP2J
10.1007_s11109-017-9411-y,10.7910/DVN/NPQ3FB
10.1007_s11109-017-9413-9,10.7910/DVN/B3YH3T
10.1007_s11109-017-9417-5,10.7910/DVN/LK5ARP
10.1007_s11109-017-9419-3,10.7910/DVN/GUAY8P
10.1007_s11109-017-9423-7,10.7910/DVN/OBGAHG
10.1007_s11109-017-9429-1,10.7910/DVN/U4ET4D
10.1007_s11109-017-9430-8,10.7910/DVN/KGUTGA
10.1007_s11109-017-9432-6,10.7910/DVN/WP7ETR
10.1007_s11109-017-9434-4,10.7910/DVN/7EGFAM
10.1007_s11109-017-9440-6,10.7910/DVN/SUS2KV
10.1007_s11109-017-9441-5,10.7910/DVN/SHADUV
10.1007_s11109-018-09523-8,10.7910/DVN/COZN1F
