file_in	title	journal	data_count	quant_count
10.2753_ppc1075-8216590101	Playing to lose?	Problems of Post-Communism	16	2
10.1017_s1049096512001448	What justice theory and climate- change politics can learn from each other	PS: Political Science & Politics	1	0
10.1016_j.polgeo.2011.04.002	Have you heard the one about the disappearing ice? Recasting arctic geopolitics	Political Geography	12	2
10.1111_jcms.12229_2			1	1
10.1146_annurev-polisci-051214-101237	Political economy of foreign direct investment: globalized production in the twenty-first century	Annual Review of Political Science	39	8
10.1177_0304375419841248	Defeat in interstate war and the probability of political liberalization	Alternatives: Global, Local, Political	71	69
10.1111_rego.2015.9.issue-2	""	Regulation & Governance	0	0
10.1093_ijtj_ijy002	Assessing a late truth commission: challenges and achievements of the brazilian national truth commission	International Journal of Transitional Justice	0	3
10.1177_1354068811412157	Book reviews: john bartle and paolo bellucci (eds) (2009)	Party Politics	0	1
10.1111_pafo.12128	Japan's foreign policy on postwar issues relating to south korea	Pacific Focus	4	4
10.1017_s0892679410000055	Face reality? After you!�a call for leadership on climate change	Ethics & International Affairs	3	2
10.1177_0305829820971694	Digitising the virtual: movement and relations in drone warfare	Millennium: Journal of International Studies	0	11
10.1017_s0260210510001166	Hegemonic metronome: the ascendancy of western standard time	Review of International Studies	1	4
10.1016_j.marpol.2015.01.014	From cannery to culinary luxury: the evolution of the global geoduck market	Marine Policy	49	0
10.1017_ajil.2020.5	Google llc v. Commission nationale de l'informatique et des libert�s (cnil)	American Journal of International Law	1	5
10.1111_twec.12448	The role for long-run target values of the exchange rate in the bank of japan's policy reaction function	The World Economy	63	1664
10.1007_s11558-014-9196-2	Introduction to the special issue on the political economy of multilateral trade negotiations	The Review of International Organizations	3	3
10.1017_psrm.2019.2	Bridging spatial and saliency theory: party size and issue selection in campaigns	Political Science Research and Methods	43	184
10.1111_pafo.12038	China's monetary power: internationalization of the renminbi	Pacific Focus	9	5
10.1093_pan_mpr010	Of fixed-effects and time-invariant variables	Political Analysis	31	58
10.1080_14747731.2013.760930	Governing the global land grab: multipolarity, ideas, and complexity in transnational governance	Globalizations	1	2
10.1177_1354066116669652	The purpose of united nations security council practice: contesting competence claims in the normative context created by the responsibility to protect	European Journal of International Relations	2	0
10.1017_s1743923x11000122	Gender and devolution in spain and the united kingdom	Politics & Gender	6	1
10.1017_s153759271800436x	Latin america since the left turn. Edited by tulia g. Falleti and emilio a. Parrado. Philadelphia: university of pennsylvania press, 2017. 384p. $69.95 cloth.	Perspectives on Politics	1	0
10.1111_j.1468-5965.2010.02090.x	Editorial: 2009, a turning point for europe?	JCMS: Journal of Common Market Studies	0	5
10.1080_07036337.2018.1546302	Knowing is not loving: media effects on knowledge about and attitudes toward the eu	Journal of European Integration	36	37
10.1080_21647259.2016.1192241	Light, heat and shadows: women's reflections on peacebuilding in post-conflict bougainville	Peacebuilding	2	0
10.1177_0305829813497822	Violence, self-authorship and the 'death of god': the 'traps' of the messianic and the tragic	Millennium: Journal of International Studies	0	6
10.1093_ia_iiab093	Turkey's changing engagement with the global south	International Affairs	1	2
10.1017_s1474745618000460	Mapping the new frontier of international ip law: introducing a trips-plus dataset	World Trade Review	65	11
10.1017_s1537592718004267	Women, war, and power: from violence to mobilization in rwanda and bosnia-herzegovina. By marie e. Berry. Cambridge: cambridge university press, 2018. 294p. $99.99 cloth, $34.99 paper.	Perspectives on Politics	0	0
10.1093_poq_nfu041	Education, intelligence, and attitude extremity	Public Opinion Quarterly	64	320
10.1111_pops.12228	Changes in income predict change in social trust: a longitudinal analysis	Political Psychology	13	81
10.1111_1758-5899.12272	A global comprehensive measure of the impact of natural hazards and disasters	Global Policy	27	14
10.1017_s0003055414000331	"I wld like u wmp to extend electricity 2 our village"""": on information technology and interest articulation"	American Political Science Review	73	111
10.1111_1468-2346.12327	Deeply divided: racial politics and social movements in post-war america. By doug mcadam and karina kloos	International Affairs	0	1
10.1093_jopart_mus090	Frictions in polycentric administration with noncongruent borders: evidence from ohio school district class sizes	Journal of Public Administration Research and Theory	109	384
10.1080_10357718.2016.1199656	Australian foreign policy: the greens' approach	Australian Journal of International Affairs	0	0
10.1177_0738894219863348	Command of the skies: an air power dataset	Conflict Management and Peace Science	34	138
10.1111_jcms.12944	Political parties in deeply multilingual polities: institutional conditions and lessons for the eu	JCMS: Journal of Common Market Studies	2	9
10.1177_002070201006500110	Is peace possible�and how?	International Journal: Canada's Journal of Global Policy Analysis	0	4
10.1007_s10308-011-0303-1	Asian perceptions about the eu in the asia�europe meeting (asem)	Asia Europe Journal	2	2
10.1111_twec.12097	An asian currency unit: simulations for its effects on east asia	The World Economy	43	52
10.5305_amerjintelaw.104.3.fm	Aji volume 104 issue 3 cover and front matter	American Journal of International Law	1	39
10.1017_s1537592721000864	Ignored racism: white animus toward latinos. By mark d. Ramirez and david a. M. Peterson. Cambridge: cambridge university press, 2020. 238p. $99.99 cloth, $24.99 paper.	Perspectives on Politics	5	2
10.1093_afraf_adv003	Bibliography	African Affairs	0	0
10.1111_twec.12120	Do domestic firms benefit from foreign presence and import competition in irish services sectors?	The World Economy	41	241
10.1007_s11109-018-9480-6	Roadmaps to representation: an experimental study of how voter education tools affect citizen decision making	Political Behavior	34	66
10.1016_j.marpol.2009.09.003	Impacts of tuna industries on coastal communities in pacific island countries	Marine Policy	1	0
10.1017_s000305542000026x	Censorship as reward: evidence from pop culture censorship in chile	American Political Science Review	59	86
10.1017_s1049096518000690	Books by our readers	PS: Political Science & Politics	0	0
10.1016_j.polgeo.2019.02.008	'Occupied enclave': policing and the underbelly of humanitarian governance in kakuma refugee camp, kenya	Political Geography	8	0
10.1080_00396338.2012.690987	Devising exit strategies	Survival	0	7
10.1017_s0003055419000029	When do citizens respond politically to the local economy? Evidence from registry data on local housing markets	American Political Science Review	72	106
10.1016_j.spacepol.2012.02.007	The role of the european parliament in the development of a european union space policy	Space Policy	1	3
10.1007_s11127-011-9829-4	The role of income in the formation of new cities	Public Choice	76	63
10.1093_ijtj_ijt023	Transitional justice gets its own encyclopedia: vitamins or steroids for a developing field?	International Journal of Transitional Justice	1	1
10.1093_ia_iiab054	The rules of contagion: why things spread��and why they stop	International Affairs	0	0
10.1017_s1537592720004168	Policy accumulation and the democratic responsiveness trap. By christian adam, steffen hurka, christoph knill, and yves steinebach. Cambridge: cambridge university press, 2019. 250p. $99.99 cloth, $29.99 paper.	Perspectives on Politics	1	0
