result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
Replication Data for: Ethnic Riots and Prosocial Behavior: Evidence from Kyrgyzstan,doi:10.7910/DVN/WVBZNE,"c(""Hager, Anselm"", ""Krakowski, Krzysztof"", ""Schaub, Max"")",American Political Science Review Dataverse,Ethnic Riots and Prosocial Behavior: Evidence from Kyrgyzstan,10.1017/s000305541900042x,0
Replication Data for: Quantifying Political Relationships,doi:10.7910/DVN/AOTVAU,"Weschle, Simon",American Political Science Review Dataverse,Quantifying Political Relationships,10.1017/s0003055418000461,0
"Replication Data for: What Makes a Good Neighbor? Race, Place, and Norms of Political Participation",doi:10.7910/DVN/SJI4IA,"Anoll, Allison",American Political Science Review Dataverse,"What Makes a Good Neighbor? Race, Place, and Norms of Political Participation   CORRIGENDUM",10.1017/s0003055418000564,0.0512820512820513
Replication Data for:  When Do Citizens Respond Politically to the Local Economy? Evidence from Registry Data on Local Housing Markets,doi:10.7910/DVN/EKZQSZ,"Larsen, Martin Vinæs",American Political Science Review Dataverse,When Do Citizens Respond Politically to the Local Economy? Evidence from Registry Data on Local Housing Markets   CORRIGENDUM,10.1017/s0003055419000303,0.0373333333333334
Replication Data for: Presidential Particularism and Divide-the-Dollar Politics,doi:10.7910/DVN/HQXKJ9,"c(""Kriner, Douglas"", ""Reeves, Andrew"")",Douglas Kriner  Dataverse,Presidential Particularism and Divide-the-Dollar Politics CORRIGENDUM,10.1017/s0003055415000362,0.0579710144927537
"Replication Data for: Money, Reputation, and Incumbency in U.S. House Elections, or Why Marginals Have Become More Expensive",doi:10.7910/DVN/NNBZP7,"c(""LeVeck, Brad"", ""Kim, Henry"")",American Political Science Review Dataverse,"Money, Reputation, and Incumbency in U.S. House Elections, or Why Marginals Have Become More Expensive",10.1017/s0003055413000245,0
"Replication Data for ""Exit Strategy: Career Concerns and Revolving Doors in Congress""",doi:10.7910/DVN/IN6SFG,"c(""You, Hye Young"", ""Shepherd, Michael E."")",Harvard Dataverse,Exit Strategy: Career Concerns and Revolving Doors in Congress   CORRIGENDUM,10.1017/s0003055420000040,0.206335439727441
"Replication Data for: ""Crime and Presidential Accountability: A Case of Racially Conditioned Issue Ownership""",doi:10.7910/DVN/0D89WX,"c(""Noble, Benjamin"", ""Reeves, Andrew"", ""Webster, Steven W."")","Replication Data for ""Crime and Presidential Accountability: A Case of Racially Conditioned Issue Ownership""",Cold Case File: Indictable Acts and Officer Accountability inMarbury v. Madison,10.1017/s0003055413000117,0.243584973637353
erratum.txt,,NULL,,Erratum,10.1017/s0003055414000082,0.121212121212121
"Replication Data for ""Roll Call Vote Selection: Implications for the Study of Legislative Politics”.",doi:10.7910/DVN/XI7ENB,"c(""Ainsley, Caitlin"", ""Carrubba, Clifford J."", ""Crisp, Brian F."", ""Demirkaya, Betul"", ""Gabel, Matthew J."", ""Hadzic, Dino"")",American Political Science Review Dataverse,Roll-Call Vote Selection: Implications for the Study of Legislative Politics,10.1017/s0003055420000192,0.241052631578947
How Parties React to Voter Transitions,doi:10.7910/DVN/HULLNG,"c(""Stoetzer, Lukas F."", ""Abou-Chadi, Tarik"")",American Political Science Review Dataverse,How Parties React to Voter Transitions,10.1017/s0003055420000155,0
The Partisan Logic of City Mobilization: Evidence From State Lobbying Disclosures,doi:10.7910/DVN/MYF97D,"Payson, Julia",American Political Science Review Dataverse,The Partisan Logic of City Mobilization: Evidence from State Lobbying Disclosures,10.1017/s0003055420000118,0
"Replication Data for: ""'Judge Lynch' in the Court of Public Opinion: Publicity and the De-legitimation of Lynching""",doi:10.7910/DVN/QTOIQF,"Weaver, Michael",American Political Science Review Dataverse, Judge Lynch  in the Court of Public Opinion: Publicity and the De-legitimation of Lynching,10.1017/s0003055418000886,0.167730340619068
Replication Data for: Agency Problems in Political Campaigns: Media Buying and Consulting,doi:10.7910/DVN/XEXISR,"c(""Martin, Gregory"", ""Peskowitz, Zachary"")",American Political Science Review Dataverse,Agency Problems in Political Campaigns: Media Buying and Consulting,10.1017/s0003055417000594,0
"Replication Data for ""Individual Life Horizon Influences Attitudes Toward Democracy""",doi:10.7910/DVN/F9RCKB,"Sunde, Uwe",Harvard Dataverse,Individual Life Horizon Influences Attitudes Toward Democracy,10.1017/s0003055419000200,0.238810824876399
"Replication Data for: Demography and Democracy: A Global, District-level Analysis of Electoral Contestation",doi:10.7910/DVN/7NC3UL,"c(""Gerring, John"", ""Palmer, Maxwell"", ""Teorell, Jan"", ""Zarecki, Dominic"")",American Political Science Review Dataverse,"Demography and Democracy: A Global, District-level Analysis of Electoral Contestation",10.1017/s0003055415000234,0
Replication Data for: A Framework for Measuring Leaders' Willingness to Use Force,doi:10.7910/DVN/7WFX1K,"c(""Carter, Jeff"", ""Smith, Charles E., Jr."")",American Political Science Review Dataverse,A Framework for Measuring Leaders  Willingness to Use Force,10.1017/s0003055420000313,0.0601500097408922
"Replication Data for: ""Buying Power: Electoral Strategy before the Secret Vote""",doi:10.7910/DVN/QIWQWL,"Gingerich, Daniel",American Political Science Review Dataverse,Buying Power: Electoral Strategy before the Secret Vote,10.1017/s0003055420000568,0.0116959064327486
Replication Data for: Censorship as Reward: Evidence from Pop Culture Censorship in Chile,doi:10.7910/DVN/QQ2FV9,"Esberg, Jane",American Political Science Review Dataverse,Censorship as Reward: Evidence from Pop Culture Censorship in Chile CORRIGENDUM,10.1017/s000305542000060x,0.0506329113924051
Mobilize for Our Lives? School Shootings and Democratic Accountability in U.S. Elections,doi:10.7910/DVN/YF761K,"Holbein, John",American Political Science Review Dataverse,Mobilize for Our Lives? School Shootings and Democratic Accountability in U.S. Elections,10.1017/s0003055420000635,0
The Political Economy of Bureaucratic Overload: Evidence from Rural Development Officials in India,doi:10.7910/DVN/N1JX6Y,"c(""Dasgupta, Aditya"", ""Kapur, Devesh"")",American Political Science Review Dataverse,The Political Economy of Bureaucratic Overload: Evidence from Rural Development Officials in India,10.1017/s0003055420000477,0
Replication Data for: Which Identity Frames Boost Support for and Mobilization in the #BlackLivesMatter Movement? An Experimental Test,doi:10.7910/DVN/IUZDQI,"c(""Bonilla, Tabitha"", ""Tillery, Alvin"")",American Political Science Review Dataverse,Which Identity Frames Boost Support for and Mobilization in the \#BlackLivesMatter Movement? An Experimental Test,10.1017/s0003055420000544,0.00294985250737478
Replication Data for: How Much is One American Worth? How Competition Affects Trade Preferences,doi:10.7910/DVN/57QESD,"c(""Mutz, Diana C"", ""Lee, Hye-Yon"")",American Political Science Review Dataverse,How Much is One American Worth? How Competition Affects Trade Preferences,10.1017/s0003055420000623,0
