name,identifier,published_at
Legislative Studies Quarterly,lsq,2018-04-08T19:24:03Z
Perspectives on Politics,perspectives,2017-12-19T16:22:44Z
American Political Science Review Dataverse,the_review,2016-09-01T15:58:58Z
International Studies Quarterly Dataverse,isq,2007-09-21T04:00:00Z
Comparative Political Studies Dataverse,cps,2020-08-05T18:48:51Z
Revista Brasileira de Política Internacional,rbpi,2020-06-17T14:52:49Z
Latin American Politics and Society Dataverse,LAPS,2016-01-28T20:47:09Z
International Security Dataverse,isec,2015-04-23T14:48:36Z
British Journal of Political Science Dataverse,BJPolS,2015-03-04T14:26:08Z
Research & Politics Dataverse,researchandpolitics,2014-01-22T20:23:44Z
Political Science Research and Methods (PSRM) Dataverse,PSRM,2013-09-03T16:49:11Z
Political Analysis Dataverse,pan,2010-03-12T14:54:49Z
Political Behavior Dataverse,polbehavior,2015-06-29T18:03:50Z
Political Science,ditellaPolSci,2018-02-22T17:42:15Z
American Journal of Political Science (AJPS) Dataverse,ajps,2013-02-13T15:35:23Z
World Politics Dataverse,world-politics,2017-02-10T01:21:18Z
Uluslararası İlişkiler-International Relations,uidergisi,2019-10-10T11:42:42Z
International Organization (IO) Journal Dataverse,IOJ,2019-01-28T19:42:31Z
Journal of Human Rights (JHR)  Dataverse,jhr,2014-10-16T19:19:54Z
Journal of Information Technology & Politics Dataverse,jitp,2009-02-12T05:00:00Z
