search_title,title_match,diff,url,orig_title,doi
Introducing Native American Conflict History (NACH) data,Introducing the Civil Wars Mediation (CWM) dataset,0.223968253968254,https://www.prio.org/utility/DownloadFile.ashx?id=271&amp;type=replicationfile,Introducing the Civil Wars Mediation (CWM) dataset,10.1177/0022343311406157
Economic governance and homicide,Economic growth and ethnic violence,0.180346880131363,https://www.prio.org/utility/DownloadFile.ashx?id=268&amp;type=replicationfile,Economic growth and ethnic violence: An empirical investigation of Hindu—Muslim riots in India,10.1177/0022343310373032
International trade and cyber conflict,International politics by other means,0.216571834992888,https://www.prio.org/utility/DownloadFile.ashx?id=275&amp;type=replicationfile,International politics by other means: External sources of civil war,10.1177/0022343319841661
Survey participation effects in conflict research,Survey participation effects in conflict research,0,https://www.prio.org/utility/DownloadFile.ashx?id=255&amp;type=replicationfile,Survey participation effects in conflict research,10.1177/0022343320971034
"Power-sharing, conflict resolution, and the logic of pre-emptive defection","Power-sharing, conflict resolution, and the logic of pre-emptive defection",0,https://www.prio.org/utility/DownloadFile.ashx?id=250&amp;type=replicationfile,"Power-sharing, conflict resolution, and the logic of pre-emptive defection",10.1177/0022343320924699
Power politics,Power politics,0,https://www.prio.org/utility/DownloadFile.ashx?id=251&amp;type=replicationfile,Power politics: Armed non-state actors and the capture of public electricity in post-invasion Baghdad,10.1177/0022343320940768
Impeding fatal violence through third party diplomacy,Impeding fatal violence through third-party diplomacy,0.0318093855829706,https://www.prio.org/utility/DownloadFile.ashx?id=241&amp;type=replicationfile,Impeding fatal violence through third-party diplomacy: The effect of mediation on conflict intensity,10.1177/0022343320930072
Purging militaries,Purging militaries,0,https://www.prio.org/utility/DownloadFile.ashx?id=219&amp;type=replicationfile,Purging militaries: Introducing the Military Purges in Dictatorships (MPD) dataset,10.1177/0022343320966375
Frozen conflicts in world politics,Frozen conflicts in world politics,0,https://www.prio.org/utility/DownloadFile.ashx?id=261&amp;type=replicationfile,Frozen conflicts in world politics: A new dataset,10.1177/0022343320929726
Only as fast as its troop contributors,Only as fast as its troop contributors,0,https://www.prio.org/utility/DownloadFile.ashx?id=178&amp;type=replicationfile,"Only as fast as its troop contributors: Incentives, capabilities, and constraints in the UN’s peacekeeping response",10.1177/0022343320940763
Commander–community ties after civil war,Commander–community ties after civil war,0,https://www.prio.org/utility/DownloadFile.ashx?id=254&amp;type=replicationfile,Commander–community ties after civil war,10.1177/0022343320929744
Arms for education,Arms for education,0,https://www.prio.org/utility/DownloadFile.ashx?id=206&amp;type=replicationfile,Arms for education? External support and rebel social services,10.1177/0022343320940749
The Humanitarian Turn at the UNSC,The Humanitarian Turn at the UNSC,0,https://files.prio.org/journals/JPR/2021/58/4/Hanania.zip,The Humanitarian Turn at the UNSC: Explaining the development of international norms through machine learning algorithms,10.1177/0022343320929728
Political life after civil wars,Political life after civil wars,0,https://www.prio.org/utility/DownloadFile.ashx?id=181&amp;type=replicationfile,Political life after civil wars: Introducing the Civil War Successor Party dataset,10.1177/0022343320920905
Are stronger states more humane,Are stronger states more humane,0,https://www.prio.org/utility/DownloadFile.ashx?id=249&amp;type=replicationfile,Are stronger states more humane? A re-evaluation of ‘exemplary villains’,10.1177/0022343320913907
Biding time versus timely retreat,Biding time versus timely retreat,0,https://files.prio.org/journals/JPR/2021/58/4/Zeng.zip,"Biding time versus timely retreat: Asymmetric dependence, issue salience, and conflict duration",10.1177/0022343320918917
A micro-level analysis of the contagion effect,A micro-level analysis of the contagion effect,0,https://www.prio.org/utility/DownloadFile.ashx?id=258&amp;type=replicationfile,A micro-level analysis of the contagion effect: Evidence from the Kurdish conflict,10.1177/0022343320957386
Making disorder more manageable,Making disorder more manageable,0,https://www.prio.org/utility/DownloadFile.ashx?id=237&amp;type=replicationfile,Making disorder more manageable: The short-term effectiveness of local mediation in Darfur,10.1177/0022343319898241
The impact of terrorism on international mergers and acquisitions,The impact of terrorism on international mergers and acquisitions,0,https://www.prio.org/utility/DownloadFile.ashx?id=235&amp;type=replicationfile,The impact of terrorism on international mergers and acquisitions: Evidence from firm-level decisions,10.1177/0022343319900207
How very massive atrocities end,How very massive atrocities end,0,https://www.prio.org/utility/DownloadFile.ashx?id=240&amp;type=replicationfile,How very massive atrocities end: A dataset and typology,10.1177/0022343319900912
What’s going on next door,What’s going on next door,0,https://www.prio.org/utility/DownloadFile.ashx?id=242&amp;type=replicationfile,"What’s going on next door? Irregular leader change in neighboring countries, uncertainty, and civil war",10.1177/0022343320913092
An interactive model of democratic peace,An interactive model of democratic peace,0,https://www.prio.org/utility/DownloadFile.ashx?id=229&amp;type=replicationfile,An interactive model of democratic peace,10.1177/0022343319883672
Peacekeeping and development in fragile states,Peacekeeping and development in fragile states,0,https://www.prio.org/utility/DownloadFile.ashx?id=228&amp;type=replicationfile,Peacekeeping and development in fragile states: Micro-level evidence from Liberia,10.1177/0022343320912813
Compliance without coercion,Compliance without coercion,0,https://www.prio.org/utility/DownloadFile.ashx?id=233&amp;type=replicationfile,Compliance without coercion: Effects of reporting on international labor rights,10.1177/0022343320910254
Mobilizing memories,Mobilizing memories,0,https://www.prio.org/utility/DownloadFile.ashx?id=230&amp;type=replicationfile,Mobilizing memories: The social conditions of the long-term impact of victimization,10.1177/0022343320912816
United Nations endorsement and support for human rights,United Nations endorsement and support for human rights,0,https://www.prio.org/utility/DownloadFile.ashx?id=231&amp;type=replicationfile,United Nations endorsement and support for human rights: An experiment on women’s rights in Pakistan,10.1177/0022343320912839
Simulation analysis on the effectiveness of missile defense,Simulation analysis on the effectiveness of missile defense,0,https://www.prio.org/utility/DownloadFile.ashx?id=234&amp;type=replicationfile,Simulation analysis on the effectiveness of missile defense,10.1177/0022343319898714
A test of the democratic peacekeeping hypothesis,A test of the democratic peacekeeping hypothesis,0,https://www.prio.org/utility/DownloadFile.ashx?id=179&amp;type=replicationfile,"A test of the democratic peacekeeping hypothesis: Coups, democracy, and foreign military deployments",10.1177/0022343320905626
Gendered preferences,Gendered preferences,0,https://www.prio.org/utility/DownloadFile.ashx?id=244&amp;type=replicationfile,Gendered preferences: How women’s inclusion in society shapes negotiation occurrence in intrastate conflicts,10.1177/0022343319899456
For better or worse,For better or worse,0,https://www.prio.org/utility/DownloadFile.ashx?id=232&amp;type=replicationfile,"For better or worse: Shaming, faming, and human rights abuse",10.1177/0022343320905346
Determinants of political purges in autocracies,Determinants of political purges in autocracies,0,https://www.prio.org/utility/DownloadFile.ashx?id=239&amp;type=replicationfile,Determinants of political purges in autocracies: Evidence from ancient Chinese dynasties,10.1177/0022343319899155
Pathways to water conflict during drought in the MENA region,Pathways to water conflict during drought in the MENA region,0,https://www.prio.org/utility/DownloadFile.ashx?id=238&amp;type=replicationfile,Pathways to water conflict during drought in the MENA region,10.1177/0022343320910777
Parties to an alliance,Parties to an alliance,0,https://www.prio.org/utility/DownloadFile.ashx?id=226&amp;type=replicationfile,Parties to an alliance: Ideology and the domestic politics of international institutionalization,10.1177/0022343319900916
