dv_doi,paper_doi
10.7910/DVN/HQXKJ9,10.1017/s0003055415000362
10.7910/DVN/JLW4TD,10.1017/s0003055411000062
10.7910/DVN/QKWOXJ,10.1017/s0003055412000469
10.7910/DVN/UNO6QU,10.1017/s0003055413000543
10.7910/DVN/HQXKJ9,10.1017/s0003055414000598
10.7910/DVN/26564,10.1017/s0003055414000380
10.7910/DVN/3HOJZ4,10.1017/s0003055415000532
10.7910/DVN/DTIEPU,10.1017/s0003055416000642
10.7910/DVN/29575,10.1017/s0003055411000268
10.7910/DVN/A1GIMB,10.1017/s0003055415000040
10.7910/DVN/WC8DPI,10.1017/s000305541300021x
10.7910/DVN/EHGCOF,10.1017/s0003055415000064
10.7910/DVN/ILZ5QL,10.1017/s000305541700003x
10.7910/DVN/CXNXEZ,10.1017/s0003055413000403
10.7910/DVN/29347,10.1017/s0003055414000616
10.7910/DVN/VNXEM6,10.1017/s0003055416000216
10.7910/DVN/25830,10.1017/s0003055414000070
10.7910/DVN/BUQJIN,10.1017/s0003055416000356
10.7910/DVN/T1JZ0L,10.1017/s0003055415000623
10.7910/DVN/28006,10.1017/s0003055415000283
10.7910/DVN/2HRRC7,10.1017/s0003055418000205
10.7910/DVN/23714,10.1017/s0003055413000440
10.7910/DVN/ZFS7LI,10.1017/s0003055411000165
10.7910/DVN/27572,10.1017/s0003055414000392
10.7910/DVN/X73I3J,10.1017/s0003055411000414
10.7910/DVN/11R0LX,10.1017/s0003055415000520
10.7910/DVN/0FXKKX,10.1017/s0003055414000549
10.7910/DVN1/22691,10.1017/s0003055413000014
10.7910/DVN/QF4MMX,10.1017/s0003055418000898
10.7910/DVN/V7C4V9,10.1017/s0003055413000075
10.7910/DVN/SOEX9V,10.1146/annurev-polisci-050718-032657
10.7910/DVN/HWH5YN,10.1146/annurev-polisci-032015-010115
10.7910/DVN/AWZLCO,10.1146/annurev-polisci-071112-213421
10.7910/DVN/27269,10.1146/annurev-polisci-071510-103222
10.34894/30GZ1M,10.1057/s41269-018-0104-2
,10.1017/ajil.2018.57
10.7910/DVN/IVQA2H,10.1111/j.1540-5907.2011.00554.x
,10.1111/j.1540-5907.2011.00553_2.x
10.7910/DVN/24765,10.1111/ajps.12048
10.7910/DVN/25013,10.1111/ajps.12041
10.7910/DVN/29382,10.1111/ajps.12421
10.7910/DVN/6EDALR,10.1111/ajps.12126
10.7910/DVN/22816,10.1111/ajps.12085
10.15139/S3/BS9NAV,10.1111/ajps.12326
10.7910/DVN/RDAJDB,10.1111/j.1540-5907.2011.00539.x
10.7910/DVN/27232,10.1111/j.1540-5907.2010.00443.x
10.7910/DVN/PNGXEV,10.1111/j.1540-5907.2010.00492.x
10.7910/DVN/OIQWUF,10.1111/j.1540-5907.2011.00576.x
10.7910/DVN/OIHHPE,10.1111/j.1540-5907.2012.00604.x
10.7910/DVN/W9HSVZ,10.1111/j.1540-5907.2012.00623.x
10.7910/DVN/24693,10.1111/j.1540-5907.2012.00628.x
10.7910/DVN/TZOGL9,10.1111/j.1540-5907.2010.00446.x
10.7910/DVN/Y2VLEC,10.1111/j.1540-5907.2011.00525.x
10.7910/DVN/YMZPAO,10.1111/j.1540-5907.2011.00532.x
10.7910/DVN/ANDHHF,10.1111/j.1540-5907.2012.00596.x
10.7910/DVN/DCXWMM,10.1111/j.1540-5907.2012.00607.x
10.7910/DVN/OZX6TU,10.1111/j.1540-5907.2010.00487.x
10.7910/DVN/TBH3YK,10.1111/j.1540-5907.2010.00490.x
10.7910/DVN/221JLJ,10.1111/j.1540-5907.2011.00526.x
10.7910/DVN/1PLVP8,10.1111/j.1540-5907.2011.00543.x
10.7910/DVN/EPQCIR,10.1111/j.1540-5907.2011.00550.x
10.7910/DVN/5ZVCMG,10.1111/j.1540-5907.2011.00569.x
10.7910/DVN/9BCWKN,10.1111/j.1540-5907.2011.00555.x
10.7910/DVN/C7JA8S,10.1111/j.1540-5907.2009.00418.x
10.7910/DVN/57ZL1U,10.1111/j.1540-5907.2011.00565.x
10.7910/DVN/IXRSIP,10.1111/j.1540-5907.2010.00485.x
10.7910/DVN/IZ6TSJ,10.1111/j.1540-5907.2011.00572.x
10.7910/DVN/NV0SZJ,10.1111/j.1540-5907.2009.00428.x
10.7910/DVN/7XLGFG,10.1111/j.1540-5907.2010.00470.x
10.7910/DVN/ONDFVJ,10.1111/j.1540-5907.2011.00580.x
10.7910/DVN/DSDD7W,10.1111/j.1540-5907.2012.00626.x
10.7910/DVN/WUAHNN,10.1111/j.1540-5907.2011.00517.x
10.7910/DVN/GJ6SXD,10.1111/ajps.12008
10.7910/DVN/28809,10.1111/ajps.12186
10.7910/DVN/PH3GBX,10.1111/j.1540-5907.2010.00437.x
10.7910/DVN/RGVLZU,10.1111/j.1540-5907.2012.00618.x
10.7910/DVN/R4Y2MS,10.1111/ajps.12325
10.7910/DVN/EWG77Q,10.1111/ajps.12086
10.7910/DVN/RRNZE7,10.1177/1532673x18765189
10.7910/DVN/J5TU3H,10.1177/1532673x18788041
10.7910/DVN/DTB1NY,10.1177/1532673x17738278
,10.1177/1532673x16638734
10.7910/DVN/FATWU7,10.1177/1532673x20972104
10.7910/DVN/J4MKWF,10.1177/1532673x19858002
10.7910/DVN/N0ZRMB,10.1177/1532673x10370734
10.7910/DVN/VF4VLD,10.1177/1532673x10371300
10.7910/DVN/0XTAAU,10.1177/1532673x10385286
10.7910/DVN/BHLMVC,10.1177/1532673x19858336
10.7910/DVN/27712,10.1177/1532673x14560809
10.7910/DVN/NKGCNA,10.1177/1532673x15594000
10.7910/DVN/X7PCPB,10.1177/1532673x14564388
10.7910/DVN/23385,10.1177/1532673x13511658
10.7910/DVN/M7J7DA,10.1177/1532673x18788049
10.7910/DVN/ATSOYF,10.1177/1532673x17745631
10.7910/DVN/27626,10.1080/13439006.2013.884256
,10.1007/s10308-017-0478-1
10.7910/DVN/8AL4CU,10.1017/s0007123412000816
10.7910/DVN/BROGUZ,10.1017/s0007123410000311
10.7910/DVN/POUBC2,10.1017/s0007123414000295
10.7910/DVN/ITYDK1,10.1017/s000712340999024x
10.7910/DVN/7J67DS,10.1017/s0007123414000283
10.7910/DVN/DA1WTL,10.1017/s0007123415000514
10.7910/DVN/O75AML,10.1017/s0007123410000141
10.7910/DVN/SZODIL,10.1017/s0007123419000310
10.7910/DVN/E46ZNK,10.1017/s0007123416000156
10.7910/DVN/YEFKSE,10.1017/s0007123413000264
10.7910/DVN/28964,10.1017/s0007123415000137
10.7910/DVN/1IKFUY,10.1017/s000712341600034x
10.7910/DVN/JL9UUK,10.1017/s0007123412000270
10.7910/DVN/1VGLLN,10.1017/s0007123416000570
10.7910/DVN/UQKU5T,10.1017/s0007123412000191
10.7910/DVN/SQOO9O,10.1017/s0007123415000435
10.7910/DVN/YKUJIW,10.1017/s0007123418000030
10.7910/DVN1/22637,10.1017/s0007123412000774
10.7910/DVN/TI8QSO,10.1017/s0007123414000192
10.7910/DVN/23575,10.1017/s0007123413000549
10.7910/DVN/TI77ZP,10.1017/s000712341500054x
10.7910/DVN/9FG6LP,10.1017/s0007123409990299
10.7910/DVN/SZODIL,10.1017/s0007123418000534
10.7910/DVN/MNQ1IU,10.1017/s0007123417000321
10.7910/DVN/28939,10.1017/s0007123414000465
10.7910/DVN/8AL4CU,10.1017/s0007123412000014
10.7910/DVN/26248,10.1017/s0007123414000325
10.7910/DVN/2TCFTF,10.1057/s41293-017-0056-6
10.7910/DVN/UCWKGC,10.1080/09557571.2017.1383358
10.7910/DVN/HMVALS,10.1093/cjip/poy009
10.7910/DVN/BGOBLA,10.1093/cjip/pou049
10.7910/DVN/ADME7M,10.1057/s41295-018-0130-5
10.7910/DVN/HIIMRK,10.1057/s41295-019-00168-3
10.7910/DVN/RARCND,10.1057/cep.2013.14
10.7910/DVN/HGILBY,10.1177/0010414019897677
10.7910/DVN/KKREYA,10.1177/0010414016679109
10.7910/DVN/H11ITR,10.1177/0010414016666834
10.7910/DVN/2A8NT6,10.1177/0010414019879953
10.7910/DVN/YLENUI,10.1177/0010414017695329
10.7910/DVN/8WZXTP,10.1177/0010414016655541
10.7910/DVN/2VFWT2,10.1177/0010414015626436
10.7910/DVN/XAUYEM,10.1177/0010414017710255
10.7910/DVN/BUWZBA,10.1177/0010414009341714
10.7910/DVN/2XMGXQ,10.1177/0010414020957671
10.7910/DVN/WL27LZ,10.1177/0010414017695336
10.7910/DVN/TALNRF,10.1177/0010414017720706
10.7910/DVN/HER2YX,10.1177/0010414017720705
10.7910/DVN/5IVYZW,10.1177/0010414020912262
10.7910/DVN/M7FYU8,10.1177/0010414019859031
10.7910/DVN/5EKV2N,10.1177/0010414017695330
10.7910/DVN/MP5XXC,10.1177/0010414013512605
10.7910/DVN/5VFHBC,10.1177/0010414016688004
10.7910/DVN/ZFQGDR,10.1177/0010414021989762
10.7910/DVN/2W0I5I,10.1177/0010414010374017
10.7910/DVN/X5C2T4,10.1177/0010414018758754
10.7910/DVN/MRDQON,10.1177/0010414011425341
10.7910/DVN/YDAS7N,10.1177/0010414020912290
10.7910/DVN/EZNWCL,10.1177/0010414018797939
10.7910/DVN/29106,10.1177/0010414015581050
10.7910/DVN/YMFJMM,10.1177/0010414017730080
10.7910/DVN/LATWFV,10.1177/0010414012463885
10.7910/DVN/SVOQX7,10.1177/0010414017710265
10.7910/DVN/HN7NCB,10.1177/0010414017710256
10.7910/DVN/U19R5G,10.1177/0010414015576745
10.7910/DVN/2ZRRX2,10.1177/0010414020912275
10.7910/DVN/F49QBI,10.1177/0010414018774355
10.7910/DVN/4PKWNO,10.1177/0738894217724135
10.7910/DVN/0DR40E,10.1177/0738894211418591
10.7910/DVN/24758,10.1177/0738894211418415
10.7910/DVN/6GKLIR,10.1177/0738894216650635
10.7910/DVN/XHCWHE,10.1177/0738894212443446
10.7910/DVN/V1SVZ4,10.1177/0738894215593703
10.7910/DVN/O1QGRW,10.1177/0738894215594756
10.7910/DVN/WVITHL,10.1177/0738894216650420
,10.1177/0738894215609000
10.7910/DVN/28444,10.1177/0738894215570433
10.7910/DVN/HS9J9I,10.1177/0738894218787784
10.7910/DVN/FCHZYT,10.1177/0738894217726762
10.7910/DVN/JUUU8W,10.1177/0738894215577557
10.7910/DVN/WGZH7J,10.1177/0738894215612996
10.7910/DVN/J9HTSN,10.1177/0738894209359119
10.7910/DVN/LIMYYR,10.1177/0738894218778260
10.7910/DVN/OPCGOE,10.1177/0738894213508691
10.7910/DVN/B8QIVZ,10.1177/0738894215570424
10.7910/DVN/FZLRVJ,10.1177/0738894214544613
10.7910/DVN/DLPCXM,10.1177/0738894213520369
10.7910/DVN/BTKZEQ,10.1177/0738894214526540
10.7910/DVN/29656,10.1177/0738894214542753
10.7910/DVN/23871,10.1177/0738894213501135
10.7910/DVN/ODZKDM,10.1177/0738894217729527
10.7910/DVN/WXUZBN,10.1177/0738894216659843
10.7910/DVN/29107,10.1177/0738894215570428
10.7910/DVN/DDDOKP,10.1177/0738894215593683
10.7910/DVN/VDJQ1E,10.1177/0738894211413066
10.7910/DVN/TQNTOM,10.1177/0738894218782160
10.7910/DVN/OAG09I,10.1080/13523260.2020.1845935
10.7910/DVN/JNVYN0,10.1177/0010836717705413
10.7910/DVN/YGYXKL,10.1177/0010836716684880
10.7910/DVN/KCBFI1,10.1525/curh.2012.111.745.199
10.7910/DVN/27448,10.1525/curh.2014.113.765.296
10.7910/DVN/SQXKY8,10.1525/curh.2013.112.754.199
10.7910/DVN/JZYGRB,10.1080/13510347.2019.1625890
10.7910/DVN/9SDLMK,10.1080/13510347.2018.1480612
10.7910/DVN/99TOM7,10.1080/13510347.2019.1590815
10.7910/DVN/JRDCUN,10.1080/13510347.2019.1665029
10.7910/DVN/PJF1JB,10.1080/13510347.2020.1723081
10.7910/DVN/XCSH4Z,10.1080/13510347.2020.1737676
10.7910/DVN/AIHO7Y,10.1080/13510347.2017.1369964
10.7910/DVN/ZZITZF,10.1080/13510347.2014.960207
10.7910/DVN/VSGRJH,10.1080/13510347.2019.1566321
10.7910/DVN/FAFWFI,10.1080/13510347.2016.1251905
10.7910/DVN/J16BPJ,10.1080/13510347.2020.1865316
10.7910/DVN/KHIMOS,10.1016/j.electstud.2018.09.012
10.7910/DVN/7LIY1U,10.1016/j.electstud.2016.07.002
10.7910/DVN/T9P4WG,10.1016/j.electstud.2017.03.004
10.7910/DVN/FWHPRK,10.1016/j.electstud.2018.04.001
10.7910/DVN/J2YRUN,10.1016/j.electstud.2015.09.008
10.7910/DVN/DBRLV5,10.1016/j.electstud.2018.02.002
10.7910/DVN/7MN7OD,10.1016/j.electstud.2019.102109
10.7910/DVN/FMLYTY,10.1016/j.electstud.2015.08.009
10.7910/DVN/BMVDC5,10.1016/j.electstud.2016.03.006
10.7910/DVN/FCMHRG,10.1016/j.electstud.2015.06.007
10.7910/DVN/JRTG7V,10.1016/j.electstud.2016.08.003
10.7910/DVN/AKQ4OO,10.1016/j.electstud.2014.03.005
10.7910/DVN/26679,10.1016/j.electstud.2010.04.008
10.7910/DVN/NVMSDF,10.1016/j.electstud.2020.102234
10.7910/DVN/CGHY3L,10.1016/j.electstud.2018.07.005
10.7910/DVN/FEGVPP,10.1016/j.electstud.2010.11.002
10.7910/DVN/XOGN2E,10.1016/j.electstud.2018.09.007
10.7910/DVN/VI9WWR,10.1016/j.electstud.2010.09.006
10.7910/DVN/CBE7I0,10.1016/j.electstud.2017.07.006
10.7910/DVN/VGOS1L,10.1016/j.electstud.2020.102205
10.7910/DVN/FJLM2D,10.1016/j.electstud.2015.03.013
10.7910/DVN/9Z1URU,10.1016/j.electstud.2018.05.004
10.7910/DVN/XFUJOO,10.1016/j.electstud.2020.102264
10.7910/DVN/ZQQB3X,10.1016/j.electstud.2021.102280
10.7910/DVN/8HN9PK,10.1016/j.electstud.2021.102282
10.7910/DVN/OOMBEL,10.1016/j.electstud.2020.102138
10.7910/DVN/27666,10.1016/j.electstud.2014.10.008
10.7910/DVN/JTSYV3,10.1016/j.electstud.2013.10.002
10.7910/DVN/URLD7U,10.1016/j.electstud.2020.102133
10.7910/DVN/28963,10.1016/j.electstud.2013.06.001
10.7910/DVN/YHOCO8,10.1016/j.electstud.2021.102307
10.7910/DVN/TIE40K,10.1016/j.electstud.2021.102301
10.7910/DVN/PGGTQ5,10.1016/j.electstud.2021.102329
10.7910/DVN/YMCHMU,10.1016/j.electstud.2021.102347
10.7910/DVN/QGDVCA,10.1016/j.electstud.2012.02.010
10.7910/DVN/B5SWDJ,10.1016/j.electstud.2019.102066
10.7910/DVN/LBRAFG,10.1016/j.electstud.2019.04.009
10.7910/DVN/BHEM8T,10.1016/j.electstud.2016.06.010
10.7910/DVN/P3HJGS,10.1016/j.electstud.2019.04.004
10.7910/DVN/K2TLDB,10.1016/j.electstud.2015.12.002
10.7910/DVN/OGRK7I,10.1016/j.electstud.2021.102366
10.7910/DVN/RT6HI7,10.1016/j.electstud.2013.01.005
10.7910/DVN/EUWXEZ,10.1016/j.electstud.2014.10.006
10.7910/DVN/9V0LLB,10.1016/j.electstud.2016.04.001
10.7910/DVN/9D70YP,10.1016/j.electstud.2018.09.009
10.7910/DVN/AESELE,10.1016/j.electstud.2018.10.005
10.7910/DVN/DWSF6L,10.1016/j.electstud.2019.04.002
,10.1080/1540496x.2015.1074486
10.7910/DVN/TNVFDB,10.2753/ree1540-496x480202
10.7910/DVN/0LUIZM,10.1080/09644016.2016.1144271
10.7910/DVN/Q1VWG4,10.1080/09644016.2019.1589037
10.7910/DVN/ANAJCK,10.1080/09644016.2018.1457287
10.7910/DVN/4YU9LJ,10.1080/09644016.2019.1708186
10.7910/DVN/2V2LGK,10.1080/09644016.2019.1629171
,10.1080/09668136.2019.1662229
10.7910/DVN/IIYY15,10.1080/09668136.2015.1054260
10.7910/DVN/80ZCG1,10.1177/1354066115581910
10.7910/DVN/BML2B1,10.1177/1354066119850622
,10.1016/j.ejpoleco.2010.10.002
10.7910/DVN/27626,10.1111/1475-6765.12390
10.7910/DVN/OG0WBZ,10.1111/1475-6765.12366
10.7910/DVN/PMPSWJ,10.1111/1475-6765.12210
10.7910/DVN/NDJY0J,10.1111/1475-6765.12350
10.7910/DVN/PQJQ0K,10.1111/1475-6765.12149
10.7910/DVN/QP3E0E,10.1111/1475-6765.12286
10.7910/DVN/4NLFSW,10.1111/1475-6765.12299
10.7910/DVN/F5RWPW,10.1111/1475-6765.12030
10.7910/DVN/ACUDFD,10.1111/1475-6765.12159
10.7910/DVN/29060,10.1111/j.1475-6765.2009.01888.x
10.7910/DVN/II7FGU,10.1111/j.1475-6765.2012.02056.x
10.7910/DVN/BWU4M5,10.1111/1475-6765.12410
10.7910/DVN/KYVPKZ,10.1017/s1755773919000250
10.7910/DVN/KVPEVE,10.1017/s1755773921000011
10.7910/DVN/TFV1HT,10.1017/s1755773920000259
10.7910/DVN/XMSF5Z,10.1017/s1755773910000214
