name,type,url,file_id,description,published_at,file_type,file_content_type,size_in_bytes,md5,checksum.type,checksum.value,unf,file_persistent_id,dataset_name,dataset_id,dataset_persistent_id,dataset_citation,dataverse_identifier,file_name,dataset_global_id,i.name,i.published_at
cmte_reported_susp_bills.rdata,file,https://dataverse.harvard.edu/api/access/datafile/3910652,3910652,"",2020-07-02,Gzip Archive,application/gzip,591,d2fcf4c0de5b08d37abe50072cf24437,MD5,d2fcf4c0de5b08d37abe50072cf24437,"",doi:10.7910/DVN/NQT3UM/NAI7JE, suspension of the rules and majority party strategy in the house,3910646,10.7910/DVN/NQT3UM,"Bussing, Austin, 2020, """"Replication Data for: Suspension of the Rules and Majority Party Strategy in the House"""", https://doi.org/10.7910/DVN/NQT3UM, Harvard Dataverse, V2, UNF:6:APL3RaXpi3Ry90DJuNGMFg== [fileUNF]",lsq,,"",Legislative Studies Quarterly,2018-04-08T19:24:03Z
additional_functions.R,file,https://dataverse.harvard.edu/api/access/datafile/3995736,3995736,"",2020-07-30,R Syntax,type/x-r-syntax,1133,67410c554f237ac585843829fe01c9da,MD5,67410c554f237ac585843829fe01c9da,"",doi:10.7910/DVN/JMOXQI/AJYJ9D," congressional representation by petition assessing the voices of the voteless in a comprehensive new database, 1789-1949",3995728,10.7910/DVN/JMOXQI,"Blackhawk, Maggie; Carpenter, Daniel; Resch, Tobias; Schneer, Benjamin, 2020, """"Replication Data for: Congressional Representation by Petition: Assessing the Voices of the Voteless in a Comprehensive New Database, 1789-1949"""", https://doi.org/10.7910/DVN/JMOXQI, Harvard Dataverse, V1",lsq,,"",Legislative Studies Quarterly,2018-04-08T19:24:03Z
Bills Code.do,file,https://dataverse.harvard.edu/api/access/datafile/3999364,3999364,"",2020-08-01,Stata Syntax,application/x-stata-syntax,1302,a6b377c038d7ee9a48efc540a758869e,MD5,a6b377c038d7ee9a48efc540a758869e,"",doi:10.7910/DVN/ZAQTQO/O8QZ1Y, the policy substance of legislative ideology,3999358,10.7910/DVN/ZAQTQO,"Cayton, Adam, 2020, """"Replication Data for: """"The Policy Substance of Legislative Ideology"""""""", https://doi.org/10.7910/DVN/ZAQTQO, Harvard Dataverse, V1, UNF:6:Nwe8tLhE7zppuv2IWe9pGA== [fileUNF]",lsq,,"",Legislative Studies Quarterly,2018-04-08T19:24:03Z
Codebook.txt,file,https://dataverse.harvard.edu/api/access/datafile/4081985,4081985,"",2020-09-23,Plain Text,text/plain,14612,4dd1805b33f0813a0fd223222d0d6d09,MD5,4dd1805b33f0813a0fd223222d0d6d09,"",doi:10.7910/DVN/XKO3BN/DHDSDM, a direct test of legislative gatekeeping,4054553,10.7910/DVN/XKO3BN,"Thieme, Sebastian, 2020, """"Replication Data for: A Direct Test of Legislative Gatekeeping"""", https://doi.org/10.7910/DVN/XKO3BN, Harvard Dataverse, V1",lsq,,"",Legislative Studies Quarterly,2018-04-08T19:24:03Z
PMPP FULLDATA MASTER KEY.docx,file,https://dataverse.harvard.edu/api/access/datafile/3127904,3127904,"",2018-02-22,MS Word,application/vnd.openxmlformats-officedocument.wordprocessingml.document,73605,deac04d3e2a9e0338cd7994ed27599cc,MD5,deac04d3e2a9e0338cd7994ed27599cc,"",doi:10.7910/DVN/WGMX7V/G0E28X,vol 16(1)  importance of public meaning for political persuasion,3127903,10.7910/DVN/WGMX7V,"Woodly, Deva, 2018, """"Vol 16(1): Replication Data for Importance of Public Meaning for Political Persuasion"""", https://doi.org/10.7910/DVN/WGMX7V, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
EthicsSurvey.tab,file,https://dataverse.harvard.edu/api/access/datafile/3137684,3137684,Survey dataset,2018-08-30,Tab-Delimited,text/tab-separated-values,694866,98ff1211406e7c0af8d970f5e29a2e4d,MD5,98ff1211406e7c0af8d970f5e29a2e4d,UNF:6:hmO6w0KyJhZnyi6ZZIbnQw==,doi:10.7910/DVN/1WDVZB/ST8GQX,vol. 16(3) replication data and supplemental materials for subjects and scholars' views on the ethics of political science field experiments,3137682,10.7910/DVN/1WDVZB,"Desposato, Scott, 2018, """"Vol. 16(3): Replication Data and Supplemental Materials for: Subjects and Scholars' Views on the Ethics of Political Science Field Experiments"""", https://doi.org/10.7910/DVN/1WDVZB, Harvard Dataverse, V1, UNF:6:hmO6w0KyJhZnyi6ZZIbnQw== [fileUNF]",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
performing_repl.zip,file,https://dataverse.harvard.edu/api/access/datafile/3208663,3208663,"Replication package for """"Performing Authoritarian Citizenship""""",2019-02-15,Shapefile as ZIP Archive,application/zipped-shapefile,26520333,c1d669fc651ed77cbae30cd8e7c647db,MD5,c1d669fc651ed77cbae30cd8e7c647db,"",doi:10.7910/DVN/KE2AQU/ONSQWJ,"vol. 17(1)  distelhorst and fu, performing authoritarian citizenship public transcripts in china",3205162,10.7910/DVN/KE2AQU,"Distelhorst, Greg; Fu, Diana, 2019, """"Vol. 17(1): Replication Data for Distelhorst and Fu, """"Performing Authoritarian Citizenship: Public Transcripts in China"""""""", https://doi.org/10.7910/DVN/KE2AQU, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
poor_students_replication_code.R,file,https://dataverse.harvard.edu/api/access/datafile/3674220,3674220,Code for replicating analyses in the paper and appendix,2020-05-20,R Syntax,type/x-r-syntax,1156370,dc0980da75037df38684327f476cec64,MD5,dc0980da75037df38684327f476cec64,"",doi:10.7910/DVN/360D4O/56QMP0, when poor students attend rich schools do affluent social environments increase or decrease participation?,3674218,10.7910/DVN/360D4O,"Mendelberg, Tali; Merola, Vittorio; Raychaudhuri, Tanika; Thal, Adam, 2020, """"Replication Data for: When Poor Students Attend Rich Schools: Do Affluent Social Environments Increase or Decrease Participation?"""", https://doi.org/10.7910/DVN/360D4O, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
Grossman_and_Pedahzur_2020_Annotations.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3744358,3744358,Online annotations for the article. Also available at https://github.com/jonathan-grossman/Appendices.,2020-05-25,Adobe PDF,application/pdf,427311,1106a3ff0321b1ffdfecaa1027c41019,MD5,1106a3ff0321b1ffdfecaa1027c41019,"",doi:10.7910/DVN/VXZZ0J/CAUXHR, can we do better? replication and online appendices in political science,3744357,10.7910/DVN/VXZZ0J,"Grossman, Jonathan; Pedahzur, Ami, 2020, """"Replication Data for: Can We Do Better? Replication and Online Appendices in Political Science"""", https://doi.org/10.7910/DVN/VXZZ0J, Harvard Dataverse, V1, UNF:6:QytTxwqaWZCFREgIGoZAAQ== [fileUNF]",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
TBmpd2018ipolatepartyyear.tab,file,https://dataverse.harvard.edu/api/access/datafile/3754644,3754644,party-year dataset,2020-06-23,Tab-Delimited,text/tab-separated-values,2033044,c8c961653623a9cf8782ca37fafbeb75,MD5,c8c961653623a9cf8782ca37fafbeb75,UNF:6:7DYEDYZqPCSxkcMPMZWF1A==,doi:10.7910/DVN/X0LYXD/L6IBUM, retreat of the west,3754640,10.7910/DVN/X0LYXD,"Burgoon, Brian; Trubowitz, Peter, 2020, """"Replication Data for Retreat of the West"""", https://doi.org/10.7910/DVN/X0LYXD, Harvard Dataverse, V1, UNF:6:w6CiHepXbbe5DAeayMwEHg== [fileUNF]",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
