p_values,sum
0,8
0,197
2,122
3,100
0,134
29,114
7,215
3,215
0,5
0,8
0,5
0,12
11,224
3,180
0,150
0,24
0,8
0,8
0,375
0,0
0,5
0,6
0,169
0,70
0,12
0,30
0,0
0,12
0,7
0,4
0,12
0,17
0,8
0,24
0,195
0,209
0,17
9,644
0,6
0,34
17,55
0,4
1,260
0,12
0,15
0,0
2,46
0,73
0,183
0,296
15,94
0,5
31,265
0,14
0,85
0,1
0,36
0,116
0,0
6,312
0,284
0,0
0,361
0,4
4,274
0,0
0,110
0,4
0,62
0,2
0,2
1,337
0,8
0,5
0,44
1,125
0,2
0,2
0,0
0,6
0,41
0,5
4,85
0,43
0,49
0,4
0,8
0,0
11,167
0,7
0,10
0,12
8,71
0,83
0,273
6,109
0,171
0,20
0,53
0,74
0,16
5,362
0,0
0,9
0,339
1,164
0,311
30,491
0,35
0,52
0,16
20,328
0,22
29,348
0,4
0,101
0,5
0,635
0,14
0,441
0,86
0,4
0,141
0,213
0,42
0,4
3,94
0,4
0,7
0,4
0,3
0,2
6,178
5,1366
0,5
0,88
0,0
0,21
0,11
0,10
0,3
0,2
1,440
0,10
0,2
0,3
0,618
0,6
0,16
0,58
2,166
0,39
20,134
0,17
0,6
0,17
0,5
0,2
0,24
0,23
0,3
0,7
0,6
0,2
0,553
0,4
0,13
3,159
0,0
6,295
0,1
11,527
0,0
24,377
0,4
0,7
9,240
13,186
0,7
0,1
6,512
0,2
0,25
12,1007
6,220
2,65
0,0
0,2
0,143
0,3
0,128
0,4
12,373
13,76
0,7
0,2
5,150
0,43
0,0
0,16
0,19
0,8
2,172
0,89
0,4
5,41
0,0
6,98
0,1
0,2
1,68
0,6
8,189
3,368
0,0
80,432
0,11
0,281
17,118
0,18
0,0
1,97
0,6
0,1
0,153
0,0
0,2
0,87
0,1
0,2
0,298
0,1
0,0
1,322
0,261
0,101
0,5
0,0
0,45
0,8
0,4
0,11
0,2
0,4
6,537
17,177
0,12
0,5
0,0
13,347
0,1
0,4
0,42
0,63
6,257
0,65
0,29
0,8
0,84
3,117
0,2
0,18
0,7
3,151
2,145
0,5
0,55
0,2
0,0
0,0
0,39
0,3
0,3
1,2
3,77
0,2
0,3
12,178
0,0
0,93
0,14
0,2
0,32
0,0
1,57
0,790
0,47
0,0
0,14
9,35
0,249
0,1
0,143
0,8
2,304
0,17
1,56
0,2
3,76
12,149
6,94
11,231
0,88
2,110
0,1092
0,0
0,5
0,16
0,44
0,61
3,158
0,1
0,2
