file_in,title,context,doi
10.1007_s10290-018-0315-7,The effects of globalization and technology on the elasticity of substitution," is based on eberhardt and presbitero (2015). the replication files can be accessed at markus eberhardt’s personal website: https​://sites​.googl​e.com/site/medev​econ/ publi​catio​ns-and-worki​ng-paper​s (by clicking “replication data and do-files” below eberhardt and pres- bitero 2015). 638 h. sala, p. trivín 1 3 6.2.1  oec",10.1007/s10290-018-0315-7
10.1007_s11109-011-9189-2,On the causes and consequences of ballot order effects,"ch, the leonard w. and shirley r. ely fellowship. replication data is available at http:// www.sas.upenn.edu/*marcmere/replicationdata/ballotorderreplicationdata.zip. appendix 1: maximum likelihood estimation we wish to estimate the coefficients k, d, c, and b using maximum likelihood i",10.1007/s11109-011-9189-2
10.1007_s11109-013-9264-y,The role of call quality in voter mobilization: implications for electoral outcomes and experimental design,uman subjects research office protocol #20110124. replication data is available at http:// www.sites.google.com/site/christopherbmann. all errors are the responsibility of the authors. references american association for public opinion research (aapor). (2011). standard definitions: fin,10.1007/s11109-013-9264-y
10.1007_s11109-015-9305-9,The rich are different: the effect of wealth on partisanship,"ect the views of the national science foundation. replication materials can be found at: www.erikpeterson.web. stanford.edu. references abramowitz, a. i. (2010). the disappearing center: engaged citizens, polarization and american democracy. new haven: yale university press. ansolabehere, s.",10.1007/s11109-015-9305-9
10.1007_s11109-016-9373-5,Tweetment effects on the tweeted: experimentally reducing racist harassment,"material, which is available to authorized users. replication materials are available on the author’s website, www.kevinmunger.com. & kevin munger km2713@nyu.edu 1 department of politics, new york university, 19 west 4th street, 2nd floor, new york, ny, usa 123 polit behav (2017) 39:629–649 doi 10.1007/s11109-016",10.1007/s11109-016-9373-5
10.1007_s11109-016-9385-1,"Can political participation prevent crime? Results from a field experiment about citizenship, participation, and criminality","material, which is available to authorized users. replication materials data and supporting materials are available at http://huber.research.yale.edu. & gregory a. huber gregory.huber@yale.edu alan s. gerber alan.gerber@yale.edu daniel r. biggers daniel.biggers@ucr.edu david j. hendry d.hendry@lse.ac.uk 1 department of po",10.1007/s11109-016-9385-1
10.1007_s11109-017-9400-1,Reexamining the effect of racial propositions on latinos' partisanship in california,"material, which is available to authorized users. replication materials for this paper can be found at http://stanford.edu/*irishui/polbehaviorpr187_ replication.zip & iris hui irishui@stanford.edu david o. sears sears@ssgs.ucla.edu 1 bill lane center for the american west, stanford university, room 177, y",10.1007/s11109-017-9400-1
10.1007_s11109-018-9506-0,How issue positions affect candidate performance: experiments comparing campaign donors and the mass public,"yale’s institution for social and policy studies. replication data are available at https​://huber​.resea​rch.yale.edu. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9506-0) contains supplementary material, which is available ",10.1007/s11109-018-9506-0
10.1007_s11109-019-09529-w,"Direct democracy, educative effects, and the (mis)measurement of ballot measure awareness","polit​ical-scien​ce/partn​ers/arkan​sas-poll.php. replication data are available at https​://datav​erse.harva​rd.edu/datav​erse/polbe​havio​r. 1022 political behavior (2020) 42:1015–1034 1 3 and on their call screens to “be generous” with responses.14 overall, we propose that our approac",10.1007/s11109-019-09529-w
10.1007_s11109-019-09558-5,Position taking on the president's agenda,ack of data for multiple explanatory variables. 6 replication data for this article are available on laine shay’s website: https​://sites​.googl​e.com/site/ laine​pshay​/home/resea​rch. 504 political behavior (2021) 43:495–516 1 3 1997). previous research finds that legislators tend to abstain less frequently on roll call vot,10.1007/s11109-019-09558-5
