file_in,title,context
10.1007_s10290-017-0301-5,Can countries rely on foreign saving for investment and economic development?,"ccount  growth  volatility  savings electronic supplementary material the online version of this article (https://doi.org/10.1007/s10290- 017-0301-5) contains supplementary material, which is available to authorized users. & ugo panizza ugo.panizza@graduateinstitute.ch eduardo cavallo cavalloe@iadb.org barry "
10.1007_s10290-017-0304-2,"Multinationals, competition and productivity spillovers through worker mobility"," hakkala’’ is updated in this article. electronic supplementary material the online version of this article (https://doi.org/10.1007/s10290- 017-0304-2) contains supplementary material, which is available to authorized users. & alessandro sembenelli alessandro.sembenelli@unito.it 1 the research institute of finn"
10.1007_s10290-018-0315-7,The effects of globalization and technology on the elasticity of substitution,"stitution · globalization · technology electronic supplementary material the online version of this article (https​://doi.org/10.1007/ s1029​0-018-0315-7) contains supplementary material, which is available to authorized users. * hector sala hector.sala@uab.es pedro trivín pedro.trivin@udg.edu 1 departament d’ec"
10.1007_s10290-018-0319-3,Is the emergence of new sovereign wealth funds a fashion phenomenon?,"al for the country to establish a swf. electronic supplementary material the online version of this article (https​://doi.org/10.1007/ s1029​0-018-0319-3) contains supplementary material, which is available to authorized users. * christelle lecourt christelle.lecourt@univ‑amu.fr jeanne amar jeanne.amar01@gmail.c"
10.1007_s10290-018-0331-7,Volatility widens inequality. Could aid and remittances help?,"s paper are only those of the authors. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-018-0331-7) contains supplementary material, which is available to authorized users. * laurent wagner laurent.wagner@ferdi.fr 1 ird, leda, psl, umr dial, université paris"
10.1007_s10290-018-0336-2,The contribution of multinationals to wage inequality: foreign ownership and the gender pay gap,"l classification f10 · f23 · j16 · j31 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-018-0336-2) contains supplementary material, which is available to authorized users. * priit vahter priit.vahter@ut.ee 1 school of economics and business administration, "
10.1007_s10290-019-00344-3,The diaspora and economic development in africa,"ica jel classification f22 · f63 · o55 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00344​-3) contains supplementary material, which is available to authorized users. * blaise gnimassoun blaise.gnimassoun@univ‑lorraine.fr john c. anyanwu j.anyanwu@af"
10.1007_s10290-019-00349-y,Non-linear pattern of international capital flows,"e in economics—erasmus mundus (edeem). electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00349​-y) contains supplementary material, which is available to authorized users. * hung ly‑dai hunglydai@gmail.com 1 bielefeld graduate school of economics and mana"
10.1007_s10290-019-00352-3,Patterns of vertical specialisation in trade: long-run evidence for 91 countries," for example through cascading effects electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00352​-3) contains supplementary material, which is available to authorized users. * stefan pahl s.pahl@rug.nl 1 groningen growth and development centre, faculty of e"
10.1007_s10290-019-00358-x,"Destination institutions, firm heterogeneity and exporter dynamics: empirical evidence from china","l classification f14 · o43 · d24 · l10 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00358​-x) contains supplementary material, which is available to authorized users. * firat demir fdemir@ou.edu chenghao hu chhu@sfsu.edu 1 department of economics, un"
10.1007_s10290-019-00363-0,Exchange rate risk and the skill composition of labor,"ity jel classification f16 · f31 · j24 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00363​-0) contains supplementary material, which is available to authorized users. * richard friberg richard.friberg@hhs.se mark sanctuary mark.sanctuary@ivl.se 1 sto"
