result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff,clean_result,clean_search,diff2
erratum.txt,,NULL,,Erratum,10.1017/s0003055414000082,0.121212121212121,erratum.txt,erratum,0.121212121212121
Judicial Diversity and Appellate Decision Making,,NULL,,Judicial Selection and Death Penalty Decisions,10.1017/s0003055413000622,0.228609253065775,judicial diversity and appellate decision making,judicial selection and death penalty decisions,0.228609253065775
"Replication Data for: ""Historical Ownership and Territorial Disputes""",doi:10.7910/DVN/8ZTQNM,"c(""Fang, Songying"", ""Li, Xiaojun"")",The Journal of Politics Dataverse,The Historical Origins of Territorial Disputes,10.1017/s0003055416000381,0.230623650940487,historical ownership and territorial disputes,the historical origins of territorial disputes,0.218015297906602
"Horizontal Inequality, Crosscutting Cleavages, and Civil War",doi:10.7910/DVN/RFG1MV,"c(""Selway, Joel"", ""Gubler, Joshua"")",Joel Selway Dataverse,Horizontal Inequalities and Ethnonationalist Civil War: A Global Comparison,10.1017/s0003055411000207,0.246025641025641,"horizontal inequality, crosscutting cleavages, and civil war",horizontal inequalities and ethnonationalist civil war a global comparison,0.23969738969739
The Political Economy of Power-Sharing,,NULL,,The Political Economy of Governance Quality,10.1017/s0003055421000046,0.174361230110159,the political economy of power-sharing,the political economy of governance quality,0.174361230110159
The Political Economy of Power-Sharing,,NULL,,The Political Economy of Ownership: Housing Markets and the Welfare State,10.1017/s0003055414000045,0.209191527504433,the political economy of power-sharing,the political economy of ownership housing markets and the welfare state,0.206845002897635
Nodding or Needling:  Analyzing Delegate Responsiveness in an Authoritarian Parliament,doi:10.7910/DVN/FHQOQI,Edmund Malesky,Edmund Malesky Dataverse,Nodding or Needling: Analyzing Delegate Responsiveness in an Authoritarian Parliament,10.1017/s0003055410000250,0.107797537619699,nodding or needling  analyzing delegate responsiveness in an authoritarian parliament,nodding or needling analyzing delegate responsiveness in an authoritarian parliament,0.109080298786181
Replication data for: Ideological Mapping of American Legislatures,doi:10.7910/DVN/RCMM6E,"c(""Boris Shor"", ""Nolan McCarty"")",Boris Shor Dataverse,The Ideological Mapping of American Legislatures,10.1017/s0003055411000153,0.186868686868687,ideological mapping of american legislatures,the ideological mapping of american legislatures,0.186868686868687
Replication Data for: Who Votes More Strategically? Evidence From Canada,doi:10.7910/DVN/B8Y17J,"c(""Rubenson, Daniel"", ""Eggers, Andrew"", ""Loewen, Peter"")",The Journal of Politics Dataverse,Who Votes More Strategically?,10.1017/s0003055419000820,0.14,who votes more strategically? evidence from canada,who votes more strategically?,0.14
Moral Power: How Public Opinion and Culture War Issues Shapes Partisan and Religious Orientations,doi:10.7910/DVN/OHPDBG,"Goren, Paul",Paul Goren Chris Chapp APSR Moral Power article Dataverse,Moral Power: How Public Opinion on Culture War Issues Shapes Partisan Predispositions and Religious Orientations,10.1017/s0003055416000435,0.156958251513664,moral power how public opinion and culture war issues shapes partisan and religious orientations,moral power how public opinion on culture war issues shapes partisan predispositions and religious orientations,0.158537814129919
Data for: Covenants without the sword? Comparing prison self-governance globally,doi:10.5064/F6AGINR7,"Skarbek, David",QDR Harvested Dataverse,Covenants without the Sword? Comparing Prison Self-Governance Globally,10.1017/s0003055416000563,0.198809523809524,data for covenants without the sword? comparing prison self-governance globally,covenants without the sword? comparing prison self-governance globally,0.195117540687161
PS: Political Science & Politics,,NULL,,Politics and Political Science,10.1146/annurev-polisci-090617-115035,0.221219135802469,ps political science & politics,politics and political science,0.212146555157308
Presidential Power Measures Dataverse,,NULL,,Presidential Power in War,10.1146/annurev-polisci-040609-155927,0.197862407862408,presidential power measures dataverse,presidential power in war,0.197862407862408
The Government Finance Database,doi:10.7910/DVN/LMS8NT,"c(""Pierson, Kawika"", ""Michael L. Hand"", ""Fred Thompson"")",Government Finance Database Dataverse,The Governance of International Finance,10.1146/annurev-polisci-053014-031647,0.20113041080783,the government finance database,the governance of international finance,0.20113041080783
The Political Economy of Power-Sharing,,NULL,,The Political Economy of the Euro,10.1146/annurev-polisci-060911-085923,0.130845661698656,the political economy of power-sharing,the political economy of the euro,0.130845661698656
Information Security Dataverse,,NULL,,"Information, Uncertainty, and War",10.1146/annurev-polisci-051215-022729,0.203030303030303,information security dataverse,"information, uncertainty, and war",0.203030303030303
Replication Data for:  Understanding Segmentation in Rural Electricity Markets: Evidence from India,doi:10.7910/DVN/TDMTRV,"c(""Thomas, Daniel"", ""Agrawal, Shalu"", ""Harish, S P"", ""Mahajan, Aseem"", ""Urpelainen, Johannes"")",Replication material for: Understanding Segmentation in Rural Electricity Markets: Evidence from India,Understanding Multilateral Institutions in Easy and Hard Times,10.1146/annurev-polisci-050918-042625,0.229739671760045,understanding segmentation in rural electricity markets evidence from india,understanding multilateral institutions in easy and hard times,0.22652329749104
The Political Economy of Power-Sharing,,NULL,,The Political Economy of Regional Integration,10.1146/annurev-polisci-051215-023006,0.168102073365231,the political economy of power-sharing,the political economy of regional integration,0.168102073365231
Economic Development and Cultural Change Dataverse,,NULL,,Economic Development and Democracy: Predispositions and Triggers,10.1146/annurev-polisci-050718-043546,0.227440476190476,economic development and cultural change dataverse,economic development and democracy predispositions and triggers,0.223968253968254
Political Party Database Round 1a,doi:10.7910/DVN/0NM7KZ,"c(""Thomas Poguntke"", ""Susan Scarrow"", ""Paul Webb"")",Political Party Database  Dataverse,Political Order and One-Party Rule,10.1146/annurev.polisci.031908.220529,0.23888203299968,political party database round 1a,political order and one-party rule,0.23888203299968
The Political Economy of Power-Sharing,,NULL,,The Political Economy of Development in China and Vietnam,10.1146/annurev-polisci-041811-150032,0.230080409356725,the political economy of power-sharing,the political economy of development in china and vietnam,0.230080409356725
Presidential Cabinets Project,,NULL,,Presidential Appointments and Personnel,10.1146/annurev-polisci-042009-121225,0.232301797819039,presidential cabinets project,presidential appointments and personnel,0.232301797819039
Presidential Cabinets Project,,NULL,,Presidential Unilateral Power,10.1146/annurev-polisci-041719-102043,0.188655672163918,presidential cabinets project,presidential unilateral power,0.188655672163918
Pro-government militias database Dataverse,,NULL,,Progovernment Militias,10.1146/annurev-polisci-051915-045433,0.158730158730159,pro-government militias database dataverse,progovernment militias,0.158730158730159
Campaign Finance and Political Polarization Dataverse,,NULL,,Campaign Finance and American Democracy,10.1146/annurev-polisci-010814-104523,0.237674275410125,campaign finance and political polarization dataverse,campaign finance and american democracy,0.237674275410125
"Climate Change Helplessness, Pilot Study",doi:10.7910/DVN/HAEP2K,"Salomon, Erika",Climate Change Helplessness Dataverse,Climate Change Politics,10.1146/annurev-polisci-062011-154926,0.22700138026225,"climate change helplessness, pilot study",climate change politics,0.22700138026225
"Replication data for: EU: Public Support for European Integration, 1973-93",doi:10.7910/DVN/LGLAA1,Chris Anderson,Chris Anderson Dataverse,Public Support for European Integration,10.1146/annurev-polisci-042214-044157,0.215811965811966,"eu public support for european integration, 1973-93",public support for european integration,0.210910005027652
Replication Data for: Public attitudes toward genetic risk scoring in medicine and beyond,doi:10.7910/DVN/CL5XCF,"c(""Zhang, Simone"", ""Johnson, Rebecca A."", ""Novembre, John"", ""Freeland, Edward"", ""Conley, Dalton"")","Replication data for ""Public attitudes toward genetic risk scoring in medicine and beyond""",Public Attitudes Toward Immigration,10.1146/annurev-polisci-102512-194818,0.212918600275931,public attitudes toward genetic risk scoring in medicine and beyond,public attitudes toward immigration,0.212918600275931
"Examining Effects of Synergizing Feed, Management and Genetic Interventions on Milk Production and Health of Dairy Cows in Ethiopia",,NULL,,Examining the effects of political information and intervention stages on public support for military interventions: a panel experiment,10.1057/ap.2010.18,0.228648084198339,"examining effects of synergizing feed, management and genetic interventions on milk production and health of dairy cows in ethiopia",examining the effects of political information and intervention stages on public support for military interventions a panel experiment,0.226584328900753
Anti-Minority Hate Crimes Dataverse,,NULL,,Anti-minority votes and judicial review,10.1057/ap.2013.7,0.226159951159951,anti-minority hate crimes dataverse,anti-minority votes and judicial review,0.226159951159951
"Supplementary Material: Why Religion? Immigrant Groups as Objects of Political Claims on Immigration and Civic Integration in Western Europe, 1995–2009",doi:10.7910/DVN/ZDKBPW,"c(""Ruedin, Didier"", ""Berkhout, Joost"")",Didier Ruedin Dataverse,"Why religion? Immigrant groups as objects of political claims on immigration and civic integration in western europe, 1995–2009",10.1057/ap.2016.1,0.196024751872903,"supplementary material why religion? immigrant groups as objects of political claims on immigration and civic integration in western europe, 1995–2009","why religion? immigrant groups as objects of political claims on immigration and civic integration in western europe, 1995–2009",0.194155730533683
Policy congruence between parliaments and citizens of immigrant origin,,NULL,,Political parties and immigration in greece: between consensus and competition,10.1057/ap.2014.31,0.231629655067155,policy congruence between parliaments and citizens of immigrant origin,political parties and immigration in greece between consensus and competition,0.228077651515151
Dutch Parliamentary Behaviour Dataset Dataverse,,NULL,,The dutch parliamentary behaviour dataset,10.1057/s41269-017-0042-4,0.220275471371735,dutch parliamentary behaviour dataset dataverse,the dutch parliamentary behaviour dataset,0.220275471371735
"Replication Data for: ""Access to Modern Fuels and Satisfaction with Cooking Arrangements: Survey Evidence from Rural India""",doi:10.7910/DVN/39PEFW,"Baquie, Sandra","""Access to Modern Fuels and Satisfaction with Cooking Arrangements: Survey Evidence from Rural India"" Dataverse",Welfare solidarities in the age of mass migration: evidence from european social survey 2016,10.1057/s41269-020-00191-3,0.244625078013302,access to modern fuels and satisfaction with cooking arrangements survey evidence from rural india,welfare solidarities in the age of mass migration evidence from european social survey 2016,0.237795305739557
International Recognition and Religion: A Quantitative Analysis of Kosovo’s Contested Status,doi:10.7910/DVN/B4XDZP,"c(""Mirilovic, Nikola"", ""Siroky, David"")",International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse,"International recognition, religion, and the status of western sahara",10.1057/s41269-020-00166-4,0.231221754714041,international recognition and religion a quantitative analysis of kosovo’s contested status,"international recognition, religion, and the status of western sahara",0.228753208767234
The Political Economy of Power-Sharing,,NULL,,The political economy of transport in east africa,10.1093/afraf/ady065,0.171442261114972,the political economy of power-sharing,the political economy of transport in east africa,0.171442261114972
The Political Economy of Power-Sharing,,NULL,,The political economy of tanzania: decline and recovery,10.1093/afraf/adw010,0.223275518341308,the political economy of power-sharing,the political economy of tanzania decline and recovery,0.219684048083171
Replication data for: Understanding Wordscores,doi:10.7910/DVN/VJQKPQ,Will Lowe,Will Lowe Dataverse,Understanding boko haram,10.1093/afraf/adaa006,0.214052287581699,understanding wordscores,understanding boko haram,0.214052287581699
After Reform: Procedural Justice and the Legitimacy of International Institutions,,NULL,,"After restitution: community, litigation and governance in south african land reform",10.1093/afraf/adv018,0.238279471065074,after reform procedural justice and the legitimacy of international institutions,"after restitution community, litigation and governance in south african land reform",0.239739392352017
