file_in,title,journal,count_prereg,prereg_context,prereg_term_context,prereg_website_context
10.1007_s11109-015-9305-9,The rich are different: the effect of wealth on partisanship,Political Behavior,1,"vote in a primary for the other party. this might mean that pre-registered winners also changed their partisan identification in response to winning, but they never take the formal step to change their party registration. while not particularly costly, changing partisan registration in pennsylvania would require voters to change during a visit to the department of motor vehicles or mail a form to their county board of elections. the data on the subsequent politic",,
10.1007_s11109-016-9350-z,Reprecincting and voting behavior,Political Behavior,1,"on. furthermore, florida allows for 16- and 17-year-olds to pre-register to vote; those who had not yet turned 18 by the 2012 election were also excluded. 8 on this point, our research design differs from haspel and knotts (2005: 536), who report using a single voter file obtained by the georgia secretary to determine a voter’s residence, election day polling location, and turnout in the 2001 atlanta election. because they use a single snapshot from the voter fil",,
10.1007_s11109-017-9413-9,What draws politicians' attention? {An} experimental study of issue framing and its effect on individual political elites,Political Behavior,1,"signing the experiments. they were, however, not officially pre-registered. polit behav (2018) 40:547–569 551 123 whether conflict is equally attractive for elites as it is for citizens. on the one hand, as elites are more purposeful and rational information users, we may expect them to be less sensitive to news framing in general. on the other hand, as politics essentially is about conflicts we may expect politicians to be especially attentive to bits of informa",,
10.1007_s11109-018-9499-8,Self-awareness of political knowledge,Political Behavior,1,"he study (2000020387). an overview of the analytic plan was pre-registered in the evidence in governance and politics repository (20170629aa). a replication file is available at dataverse.harvard. edu/dataverse/polbehavior. references ahler, d. j., & sood, g. (2018). the parties in our heads: misperceptions about party composition and their consequences. the journal of politics, 80(3), 694–981. alvarez, r. m., & franklin, c. h. (1994). uncertainty and political p",,
10.1007_s11109-019-09534-z,Do means of program delivery and distributional consequences affect policy support? {Experimental} evidence about the sources of citizens' policy opinions,Political Behavior,1,"ted on mturk was intended as a pilot study, thus we did not pre-register a plan for analysis. 1114 political behavior (2020) 42:1097–1118 1 3 p < 0.05). this effect in the mturk sample is approximately 15% of the standard deviation of responses in the direct treatment. while the respondents in both sam- ples appear to prefer the indirect framing of the hmid, the difference in the mag- nitude of results leads us to be cautious in characterizing citizens preference", proce- dures we follow in our analyses were decided and documented prior to data collec- tion in a pre-analysis plan.13 survey respondents are asked about two hypothetical prospective policies: a pro- gram that provides newborns and their mothers with nutritional assistance (nutri- tion policy) and a program that helps employed workers get additional training to remain competitive in the job market (job training policy). the question wording and design are shown in table 1. the descriptions of both policie,
,,,,,"ed in experiment 2) reflect decisions made prior to data collection and that were documented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and postpartum women, infants, and children up to 5 years of age. depending",
,,,,,"that were documented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and postpartum women, infants, and children up to 5 years of age. depending on the state agency administering the benefit, participants rec",
,,,,,"ocumented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and postpartum women, infants, and children up to 5 years of age. depending on the state agency administering the benefit, participants receive wic benefits t",
,,,,,"red with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and postpartum women, infants, and children up to 5 years of age. depending on the state agency administering the benefit, participants receive wic benefits through checks, vouchers, or as elec",
,,,,,"s. details regarding the procedure we use were decided and documented prior to data collection in a pre-analysis plan 1107 1 3 political behavior (2020) 42:1097–1118 indirect transfers as less costly to the government, relative to direct transfers (nutri- tion: difference-of-means, ̂ pate = −0.47 in decreased cost, p < 0.01; job train- ing: difference-of-means, ̂ pate = −0.87 in decreased cost, p < 0.01; see row 3 of fig. 1c, d). and, furthermore, while respondents believe that both programs will lead to an",
