file_in,title,journal,context,count_prereg,relevant,validate,validate_link,validate_comments
10.1007_s11109-013-9239-z,Do online advertisements increase political candidates' name recognition or favorability? {Evidence} from randomized field experiments,Political Behavior,"herwise. 16 best practices in randomized trials include the pre-registration of an analysis plan to limit researcher discretion (casey et al. 2012). 272 polit behav (2014) 36:263–289 123 politically meaningful impacts. indeed, the results cast doubt on the proposition that dozens of online ads increased the candidate’s name recognition in his district by more than approximately 1.8 % points, which marks the upper end of the 95 % confidence interval. because only ",1,,,,
10.1007_s11109-015-9305-9,The rich are different: the effect of wealth on partisanship,Political Behavior,"vote in a primary for the other party. this might mean that pre-registered winners also changed their partisan identification in response to winning, but they never take the formal step to change their party registration. while not particularly costly, changing partisan registration in pennsylvania would require voters to change during a visit to the department of motor vehicles or mail a form to their county board of elections. the data on the subsequent politic",1,,,,
10.1007_s11109-015-9319-3,Turning out unlikely voters? {A} field experiment in the top-two primary,Political Behavior,"n investigate heterogeneous treatment effects, which we had pre-registered, as well as persistence into the november general election. the central result from our analysis is that these voters who would normally not be contacted by campaigns or election administrators because they hadn’t previously voted in primaries (‘‘low-propensity voters’’ in the parlance of campaigns) respond to simple informational letters to the same or even greater degree as citizens resp",4,,,,
10.1007_s11109-015-9319-3,Turning out unlikely voters? {A} field experiment in the top-two primary,Political Behavior,"hable difference with or without block fixed effects. 17 we preregistered heterogeneous treatment effect analysis prior to receiving the results at http://***e-gap***. org, and also anticipated this analysis through the block randomization of our experimental design. we analyze heterogeneous treatment effects by two pre-registered district variables in a companion article. polit behav (2016) 38:413–432 425 123 in fig. 3, we present heterogeneous treatment effects by g",4,TRUE,No,,
10.1007_s11109-015-9319-3,Turning out unlikely voters? {A} field experiment in the top-two primary,Political Behavior,"l design. we analyze heterogeneous treatment effects by two pre-registered district variables in a companion article. polit behav (2016) 38:413–432 425 123 in fig. 3, we present heterogeneous treatment effects by groups of registrant age (the same age groupings used in our block randomization) and individual turnout history in recent general elections. we again include the overall effects to the far left for reference. there is some evidence that the letters were",4,,,,
10.1007_s11109-015-9319-3,Turning out unlikely voters? {A} field experiment in the top-two primary,Political Behavior,"undation, and did not involve deception of its subjects. we pre-registered our analysis with http://***e-gap***.org. the authors are solely responsible for interpretation, analysis, and conclusions. a replication archive is available at http:// dx.doi.org/10.7910/dvn/8qlbsa or from the authors on request. references arceneaux, k., & nickerson, d. w. (2009). who is mobilized to vote? a re-analysis of eleven randomized field experiments. american journal of political sci",4,TRUE,,,
10.1007_s11109-016-9373-5,Tweetment effects on the tweeted: experimentally reducing racist harassment,Political Behavior," judgment when he is not in the group 1 all hypotheses were pre-registered at ***egap***.org (id number 20150520aa) prior to any data collection. polit behav (2017) 39:629–649 631 123 situation’’ (sherif and sherif 1953). attitudes towards out-groups are a particularly important set of group norms, and prejudice towards out-groups can be a strong signal of in-group membership (brewer 1999). recent experiments have aimed to test the role of group norms in prejudice form",1,TRUE,Yes,https://osf.io/n6vdx,
10.1007_s11109-017-9413-9,What draws politicians' attention? {An} experimental study of issue framing and its effect on individual political elites,Political Behavior,"signing the experiments. they were, however, not officially pre-registered. polit behav (2018) 40:547–569 551 123 whether conflict is equally attractive for elites as it is for citizens. on the one hand, as elites are more purposeful and rational information users, we may expect them to be less sensitive to news framing in general. on the other hand, as politics essentially is about conflicts we may expect politicians to be especially attentive to bits of informa",1,,,,
10.1007_s11109-018-9499-8,Self-awareness of political knowledge,Political Behavior,"he study (2000020387). an overview of the analytic plan was pre-registered in the evidence in governance and politics repository (20170629aa). a replication file is available at dataverse.harvard. edu/dataverse/polbehavior. references ahler, d. j., & sood, g. (2018). the parties in our heads: misperceptions about party composition and their consequences. the journal of politics, 80(3), 694–981. alvarez, r. m., & franklin, c. h. (1994). uncertainty and political p",1,,,,
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,"or the protection of human subjects (id: study00030273) and preregistered at evidence in governance and politics (id: 20170428aa), https​://***egap***.org/regis​trati​on/2488. past studies show that crowdworks is a valid platform for recruiting subjects for behavioral and cognitive research (majima et al. 2017; majima 2017), offer- ing support for our use of it in this study. however, the resulting sample does differ from japan’s adult population in terms of key demog",3,TRUE,Yes,https://osf.io/t2svc,
