file_in	title	journal	data_count	stat_count	data_bool	stat_bool
10.1093_publius_pjt061	Publius * the journal of federalism volume 44 number 2 spring 2014 - back cover	Publius: The Journal of Federalism	0	0		
10.1146_annurev-polisci-120117-110316	Theories of institutional corruption	Annual Review of Political Science	5	7		
10.1017_s1474745619000156	Democracy, redistribution and the wto a comment on quinn slobodian's book globalists the end of empire and the birth of neoliberalism harvard university press, 2018	World Trade Review	2	6		
10.1080_09668136.2014.941697	Post-soviet civil society development in the russian federation the impact of the ngo law	Europe-Asia Studies	5	2		
10.1017_s0022381614000188	From bombs to ballots when militant organizations transition to political parties	The Journal of Politics	56	437		1
10.1017_s0007123412000634	Does peacekeeping work A disaggregated analysis of deployment and violence reduction in the bosnian war	British Journal of Political Science	60	172		1
10.1177_0968344520976415	Editors' comment	War in History	0	0		
10.1017_s1537592711005159	Religion and war resistance in the plowshares movement. By sharon erickson nepstad. New york cambridge university press, 2008. 284p. $93.00 cloth, $27.00 paper.	Perspectives on Politics	0	0		
10.1007_s11127-015-0252-0	Collective action fifty years later	Public Choice	46	129		
10.1111_ajps.12542	Erratum ""the economic consequences of partisanship in a polarized era	American Journal of Political Science	4	18		
10.1080_1060586x.2016.1138627	Victor h. Winston, 1925�2015	Post-Soviet Affairs	0	4		
10.1111_1475-6765.12421	Between governance-driven democratisation and democracy-driven governance explaining changes in participatory governance in the case of barcelona	European Journal of Political Research	8	1		
10.1111_j.1749-5687.2011.00120.x	Armed resistance and self-esteem ex-combatants in palestine and south africa	International Political Sociology	5	3		
10.1111_j.1468-5965.2012.02258.x	Financial crises in iceland and ireland does european union and euro membership matter	JCMS: Journal of Common Market Studies	2	39	1	
10.1177_1065912913513351	James wilson versus the bill of rights	Political Research Quarterly	0	3		
10.1016_j.ejpoleco.2015.11.002	Organized crime and electoral outcomes. Evidence from sicily at the turn of the xxi century	European Journal of Political Economy	115	437		1
10.1017_s1537592711004075	Referees for 2010�2011	Perspectives on Politics	0	0		
10.1007_s10784-010-9113-y	Environmental implications of trade liberalization on north american transport services the case of the trucking sector	International Environmental Agreements: Politics, Law and Economics	60	95		1
10.1017_s1755773911000105	Keeping the dream alive the european court of justice and the transnational fabric of integrationist jurisprudence	European Political Science Review	2	3		
10.1057_cep.2015.45	Evaluations of the quality of the representative channel and unequal participation	Comparative European Politics	64	1578		1
10.1017_s1537592712003295	Enduring injustice. By jeff spinner-halev. New york cambridge university press, 2012. 246p. $95.00 cloth, $27.99 paper.	Perspectives on Politics	0	0		
10.1017_s1537592719003256	Just giving why philanthropy is failing democracy and how it can do better. By rob reich. Princeton princeton university press, 2018. 256p. $27.95 cloth.	Perspectives on Politics	1	0		
10.1093_afraf_adv035	Does organized crime exist in africa figure 1	African Affairs	4	3		
10.1111_1758-5899.12416	Generating sustained political priority for non-communicable diseases towards a suitable governance model	Global Policy	0	3		
10.1017_s1049096516001979	Psc volume 49 issue 4 cover and front matter	PS: Political Science & Politics	0	2		
10.1177_1354068816642802	It hurts when it really matters	Party Politics	51	152		1
10.1177_0022002712464315	Aid	Journal of Conflict Resolution	1	0		1
10.1111_j.1468-2486.2010.00980.x	New normative grounds for territorial claims	International Studies Review	1	0		
10.1177_0022343311406305	Foreign military intervention and women's rights	Journal of Peace Research	97	167		1
10.1093_ser_mwv004	Policy ideas, knowledge regimes and comparative political economy	Socio-Economic Review	7	2		
10.1017_s1474745616000355	Wtr volume 15 issue 4 cover and front matter	World Trade Review	0	0		
10.1080_14616742.2017.1361686	Building dignified worlds geographies of collective action, by gerda roelvink	International Feminist Journal of Politics	0	2		
10.1016_j.marpol.2020.103921	Epistemic justice and the integration of local ecological knowledge for marine conservation lessons from the seychelles	Marine Policy	13	4		
10.1093_ijpor_edx019	Gender gaps in the measurement of public opinion about homosexuality in cross-national surveys a question-wording experiment	International Journal of Public Opinion Research	12	48		1
10.1177_0022343316631033	Endogenous networks and international cooperation	Journal of Peace Research	157	69		1
10.1002_polq.12515	How policy shapes politics rights, courts, litigation, and the struggle over injury compensation by jebbarnes and thomas f.burke. New york, oxford university press, 2015. 272 pp. $39.95.	Political Science Quarterly	0	0		
10.1017_s1537592719003384	What are intellectuals good for	Perspectives on Politics	0	1		
10.1080_17502977.2018.1466945	Water service provision and peacebuilding in east timor exploring the socioecological determinants for sustaining peace	Journal of Intervention and Statebuilding	9	1	1	
10.1093_isr_viy053	Forum in the beginning there was no word (for it) terms, concepts, and early sovereignty	International Studies Review	1	1		
